eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Nl_7,Nl_8,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Yl_7,Yl_8,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6,Vl_7,Vl_8
0.01,0.09229265556934824,21473,2724.474678233626,0.00481925,2313,635,100,15,nan,nan,nan,nan,nan,0.08433978335603214,0.01250437539885556,-0.003648400455841567,-0.0009031027296978873,nan,nan,nan,nan,nan,0.01376500927086709,0.007443178307684313,0.001032813799164946,0.0002328610836097117,nan,nan,nan,nan,nan
0.01,0.08440342731097811,29586,6252.451107076566,0.006672333,2762,657,129,26,nan,nan,nan,nan,nan,0.07846477035315097,0.01006593674762983,0.0004191132631393825,-0.004546393052942072,nan,nan,nan,nan,nan,0.01295221609346474,0.005854616216512083,0.001780281986484035,0.0005343975305193646,nan,nan,nan,nan,nan
0.01,0.09450823046828752,26516,5202.752642728845,0.00577425,2836,752,100,22,nan,nan,nan,nan,nan,0.08415888822682166,0.009863530736025078,-0.003980057719237291,0.004465869224678069,nan,nan,nan,nan,nan,0.01512872368106519,0.008713788695314974,0.001152058854333048,0.0004446797130537475,nan,nan,nan,nan,nan
0.01,0.07683452660979515,47686,370.8026440190912,0.011376833,3694,891,152,21,4,nan,nan,nan,nan,0.08456685150434512,0.01177018372534824,-0.01131088221526672,-0.007889199084322465,-0.0003024273203090407,nan,nan,nan,nan,0.01481862831502227,0.006507966587023231,0.001838265044101286,0.0002219880617400811,3.960720401827508e-06,nan,nan,nan,nan
0.01,0.1048585886355654,24032,3641.930305396586,0.005309291,2784,624,102,19,nan,nan,nan,nan,nan,0.08617131290545015,0.01235979728655305,0.005230596516632663,0.001096881926929498,nan,nan,nan,nan,nan,0.01534962105645272,0.006923849536115734,0.001390301403658423,0.0003112760944783407,nan,nan,nan,nan,nan
0.001,0.08320200393796151,49066971,1789829.184066293,12.726150792,1162691,300707,50836,8270,1320,227,40,7,nan,0.0832105535662558,0.01110090236155167,-0.002991470122484403,-0.003634073074183376,-0.002079417946535818,-0.001273504004137647,-0.0009921468174103887,-0.0001388400250943132,nan,0.01383421730146761,0.007399034837301276,0.001688993264098742,0.0003554427419254711,7.47766233991777e-05,1.75373464425636e-05,3.761470885576366e-06,3.733874867927737e-07,nan
0.001,0.08406142411845872,22640266,1659503.308283732,5.637757041,790178,204069,34251,5486,891,145,26,nan,nan,0.08323386923529456,0.01106783234195401,-0.002587154895917861,-0.00330197678742516,-0.002561579148032694,-0.001287005349767333,-0.000502561277646798,nan,nan,0.01386927959520114,0.007393602264268666,0.00166199315823591,0.0003430525653491492,7.054476699379406e-05,1.530374047312579e-05,2.76959626607386e-06,nan,nan
0.001,0.08453849230477777,20236676,1756760.651850725,5.036080042,743540,191274,32415,5360,841,120,22,nan,nan,0.08320314014324033,0.01114838322851635,-0.00234508692147679,-0.003331785005522287,-0.002190768657078574,-0.001367174151981805,-0.0005782163309194758,nan,nan,0.01382795435420915,0.007329295039805011,0.001652284905013193,0.0003664370750450532,7.25241979204927e-05,1.171517999815871e-05,2.9319120470951e-06,nan,nan
0.001,0.08492740048199256,23078777,1784302.784072606,5.755893083,794161,204345,34326,5761,929,149,26,nan,nan,0.08304857418994253,0.01098689498952966,-0.002788318529527013,-0.003351748939370368,-0.002050996250483274,-0.0005977952117680188,-0.0003192097663309601,nan,nan,0.01374380407345325,0.007323833518656185,0.001642287323184434,0.0003676031065602287,7.833389347722173e-05,1.648088593202811e-05,2.977877961221734e-06,nan,nan
0.001,0.08269745384476535,175962851,785805.2946021999,47.005010208,2141643,552811,93447,15328,2389,409,81,21,4,0.08307193734622198,0.01099980137079015,-0.002835215812994341,-0.003555280618260946,-0.002336277013941269,-0.001334815090947912,-0.0003588206805612036,-0.0005996208565766318,-0.0003542547989644597,0.01380113879213134,0.007354730705116384,0.001683399070257452,0.0003624631768214043,7.519241020022498e-05,1.681033691767932e-05,4.392975226638969e-06,2.309948097014646e-06,2.049147003590442e-08
