eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Nl_7,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Yl_7,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6,Vl_7
0.01,0.07487435775627371,9393,506.4515117914439,0.002451541,657,100,100,3,nan,nan,nan,nan,0.05801100100359236,0.0135143903380249,0.004963622641299623,-0.001614656226643175,nan,nan,nan,nan,0.006606214383758458,0.0006937858810076062,0.0001460252834961962,4.328645399926871e-05,nan,nan,nan,nan
0.01,0.07729770815262517,8817,146.703087333114,0.002303458,593,100,100,2,nan,nan,nan,nan,0.05818312318679777,0.01312746359421843,0.005296444090341352,0.0006906772812676053,nan,nan,nan,nan,0.006320790169510903,0.001081285277333571,0.0001474252703557791,1.253872541308666e-05,nan,nan,nan,nan
0.01,0.07002435654686504,8809,117.6028191867199,0.002236,585,100,100,2,nan,nan,nan,nan,0.05226795585288279,0.01153478110864299,0.0055091051618864,0.0007125144234528501,nan,nan,nan,nan,0.006273024038205169,0.001040813826536184,0.0001441343358543534,1.005152300741196e-05,nan,nan,nan,nan
0.01,0.0796363015104449,8767,30.97054975588056,0.002240292,543,100,100,2,nan,nan,nan,nan,0.05409590659433089,0.01771375962762338,0.006448792275937465,0.001377843012553163,nan,nan,nan,nan,0.005552099000296257,0.00103832888344633,0.0001477843509446237,2.647055534690646e-06,nan,nan,nan,nan
0.01,0.07787747215593188,8752,145.3233733664444,0.002360125,528,100,100,2,nan,nan,nan,nan,0.05549772024095349,0.01292163528926983,0.004829149439546063,0.0046289671861625,nan,nan,nan,nan,0.005585461368093528,0.0008903006965941403,0.0001613263312742893,1.242080114243115e-05,nan,nan,nan,nan
0.001,0.08132864601577955,779766,24110.03598926597,0.197458375,94966,14024,1843,256,39,5,nan,nan,0.05489872528685239,0.01722007456059705,0.005213385834255667,0.002752986310229391,0.0008022195547440017,0.0004412544691010427,nan,nan,0.005935877831224185,0.001017685907822633,0.0001392406520791631,2.084175899620975e-05,3.752608097507206e-06,3.219049372381902e-07,nan,nan
0.001,0.08321158234461651,860104,0,0.230138333,88040,12340,1689,200,25,3,1,nan,0.05529225346696413,0.0173772201645711,0.006404123462839948,0.002989360440750195,0.0008080982316983101,0.000534502876513907,-0.0001939762987210759,nan,0.006117707659923015,0.000966883003643695,0.0001465609432258963,1.702860268600334e-05,1.922360969907092e-06,1.098170440412982e-07,0,nan
0.001,0.08130153563894427,559054,18076.17588833764,0.14160925,79414,11587,1558,193,22,3,nan,nan,0.05476608061224131,0.01677608233000476,0.006236746746683904,0.002023174757272038,0.0008379691532985695,0.0006614820394436685,nan,nan,0.005920909239462213,0.001009909752953919,0.0001454870802662479,1.78556115920865e-05,1.092602396029536e-06,2.413439062236327e-07,nan,nan
0.001,0.08321274394967432,562994,10841.43635353863,0.157977167,79778,11458,1502,201,23,3,nan,nan,0.05515209497664691,0.01737877857842763,0.006513849075156265,0.0021735984252385,0.001388142552199291,0.0006062803420057277,nan,nan,0.006169730242251017,0.001019276864190052,0.0001408963555053926,1.969004746868648e-05,1.016326321949706e-06,1.447493438214455e-07,nan,nan
0.001,0.08172887668302271,662180,341.8529935817159,0.175943875,87460,12864,1716,227,28,4,nan,nan,0.05496052054546363,0.01704957983112316,0.006188552934136872,0.002100583243983198,0.0009746016651539718,0.0004550384631618999,nan,nan,0.006022195342215407,0.001029085037824829,0.0001470210176512846,2.028288326077678e-05,2.505059562572722e-06,4.564247290738283e-09,nan,nan
