eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6
0.01,0.08676494313702449,8888,212.9908831951358,0.000972083,664,100,100,2,nan,nan,nan,0.05974066371528763,0.01940249731280532,0.00802686731671088,-0.0004050852077793453,nan,nan,nan,0.007991540458954192,0.001214281093257703,0.00010954550085857,1.820434899103725e-05,nan,nan,nan
0.01,0.08676494313702449,8888,212.9908831951358,0.000815084,664,100,100,2,nan,nan,nan,0.05974066371528763,0.01940249731280532,0.00802686731671088,-0.0004050852077793453,nan,nan,nan,0.007991540458954192,0.001214281093257703,0.00010954550085857,1.820434899103725e-05,nan,nan,nan
0.01,0.08676494313702449,8888,212.9908831951358,0.000947292,664,100,100,2,nan,nan,nan,0.05974066371528763,0.01940249731280532,0.00802686731671088,-0.0004050852077793453,nan,nan,nan,0.007991540458954192,0.001214281093257703,0.00010954550085857,1.820434899103725e-05,nan,nan,nan
0.01,0.08676494313702449,8888,212.9908831951358,0.001061792,664,100,100,2,nan,nan,nan,0.05974066371528763,0.01940249731280532,0.00802686731671088,-0.0004050852077793453,nan,nan,nan,0.007991540458954192,0.001214281093257703,0.00010954550085857,1.820434899103725e-05,nan,nan,nan
0.01,0.08676494313702449,8888,212.9908831951358,0.001266041,664,100,100,2,nan,nan,nan,0.05974066371528763,0.01940249731280532,0.00802686731671088,-0.0004050852077793453,nan,nan,nan,0.007991540458954192,0.001214281093257703,0.00010954550085857,1.820434899103725e-05,nan,nan,nan
0.001,0.08405934168562232,686848,24411.71918651545,0.038145,92104,13207,1698,247,30,4,nan,0.05570934430200739,0.01738217529112901,0.006725948073230069,0.002457646185223109,0.001394604840317411,0.0003896229937153358,nan,0.006309283967901769,0.001037087257992747,0.0001370150905287806,2.298817769583602e-05,2.628366026766599e-06,3.259328578402019e-07,nan
0.001,0.08405934168562232,686848,24411.71918651545,0.041049958,92104,13207,1698,247,30,4,nan,0.05570934430200739,0.01738217529112901,0.006725948073230069,0.002457646185223109,0.001394604840317411,0.0003896229937153358,nan,0.006309283967901769,0.001037087257992747,0.0001370150905287806,2.298817769583602e-05,2.628366026766599e-06,3.259328578402019e-07,nan
0.001,0.08405934168562232,686848,24411.71918651545,0.03689325,92104,13207,1698,247,30,4,nan,0.05570934430200739,0.01738217529112901,0.006725948073230069,0.002457646185223109,0.001394604840317411,0.0003896229937153358,nan,0.006309283967901769,0.001037087257992747,0.0001370150905287806,2.298817769583602e-05,2.628366026766599e-06,3.259328578402019e-07,nan
0.001,0.08405934168562232,686848,24411.71918651545,0.039558875,92104,13207,1698,247,30,4,nan,0.05570934430200739,0.01738217529112901,0.006725948073230069,0.002457646185223109,0.001394604840317411,0.0003896229937153358,nan,0.006309283967901769,0.001037087257992747,0.0001370150905287806,2.298817769583602e-05,2.628366026766599e-06,3.259328578402019e-07,nan
0.001,0.08405934168562232,686848,24411.71918651545,0.038543041,92104,13207,1698,247,30,4,nan,0.05570934430200739,0.01738217529112901,0.006725948073230069,0.002457646185223109,0.001394604840317411,0.0003896229937153358,nan,0.006309283967901769,0.001037087257992747,0.0001370150905287806,2.298817769583602e-05,2.628366026766599e-06,3.259328578402019e-07,nan
0.0005,0.08335385792858123,3676523,82167.81561957412,0.231487792,410955,58820,7752,1042,127,14,3,0.05556983835258533,0.01728382993886813,0.00624907115600903,0.002484962871815268,0.0012301837413583,0.0004488000994016696,8.717176854349899e-05,0.006211625237661338,0.001019638885308949,0.0001413601273530642,2.042093261360993e-05,2.422405755049182e-06,2.229482227438411e-07,3.428310058127781e-08
0.0005,0.08335385792858123,3676523,82167.81561957412,0.251362666,410955,58820,7752,1042,127,14,3,0.05556983835258533,0.01728382993886813,0.00624907115600903,0.002484962871815268,0.0012301837413583,0.0004488000994016696,8.717176854349899e-05,0.006211625237661338,0.001019638885308949,0.0001413601273530642,2.042093261360993e-05,2.422405755049182e-06,2.229482227438411e-07,3.428310058127781e-08
0.0005,0.08335385792858123,3676523,82167.81561957412,0.307933875,410955,58820,7752,1042,127,14,3,0.05556983835258533,0.01728382993886813,0.00624907115600903,0.002484962871815268,0.0012301837413583,0.0004488000994016696,8.717176854349899e-05,0.006211625237661338,0.001019638885308949,0.0001413601273530642,2.042093261360993e-05,2.422405755049182e-06,2.229482227438411e-07,3.428310058127781e-08
0.0005,0.08335385792858123,3676523,82167.81561957412,0.272263458,410955,58820,7752,1042,127,14,3,0.05556983835258533,0.01728382993886813,0.00624907115600903,0.002484962871815268,0.0012301837413583,0.0004488000994016696,8.717176854349899e-05,0.006211625237661338,0.001019638885308949,0.0001413601273530642,2.042093261360993e-05,2.422405755049182e-06,2.229482227438411e-07,3.428310058127781e-08
0.0005,0.08335385792858123,3676523,82167.81561957412,0.232842583,410955,58820,7752,1042,127,14,3,0.05556983835258533,0.01728382993886813,0.00624907115600903,0.002484962871815268,0.0012301837413583,0.0004488000994016696,8.717176854349899e-05,0.006211625237661338,0.001019638885308949,0.0001413601273530642,2.042093261360993e-05,2.422405755049182e-06,2.229482227438411e-07,3.428310058127781e-08
