eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Nl_7,Nl_8,Nl_9,Nl_10,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Yl_7,Yl_8,Yl_9,Yl_10,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6,Vl_7,Vl_8,Vl_9,Vl_10
0.005,0.08041368651755895,559236,45740.17779196455,0.156809021,24236,6459,1040,174,32,6,nan,nan,nan,nan,nan,0.08304909635843738,0.01097118414104151,-0.003815562359973495,-0.002932914108604405,-0.004469999944665248,-0.002388117568676782,nan,nan,nan,nan,nan,0.01365145905921251,0.007787285757780153,0.001674260733175526,0.0003544247443685203,8.123414079252642e-05,1.526748971666952e-05,nan,nan,nan,nan,nan
0.005,0.08573334222257611,247522,37548.58194091451,0.064535546,16114,4246,709,121,22,nan,nan,nan,nan,nan,nan,0.08256429204608857,0.01137520373220953,-0.002722895293774494,-0.004318084363146694,-0.001165173898800797,nan,nan,nan,nan,nan,nan,0.01347846319317,0.007309414718694373,0.001665778155023163,0.0003274839217604784,0.00010026859095523,nan,nan,nan,nan,nan,nan
0.005,0.08972605082764254,105943,17514.63463250982,0.026092081,11183,2781,469,83,nan,nan,nan,nan,nan,nan,nan,0.08346692543386347,0.01017294914549067,-0.00196817150134317,-0.001945652250368446,nan,nan,nan,nan,nan,nan,nan,0.01428721739258902,0.007229738403217484,0.001714755617028003,0.0003742443297544835,nan,nan,nan,nan,nan,nan,nan
0.005,0.08888896049253876,265064,37834.2228463935,0.069359778,16688,4431,719,134,24,nan,nan,nan,nan,nan,nan,0.08257830829610646,0.01237954155144122,-0.0006883674781861173,-0.006195460125751553,0.000814938248928735,nan,nan,nan,nan,nan,nan,0.0136554827356329,0.007393776279054996,0.001600090566740604,0.0004157629338924551,0.0001010313577397819,nan,nan,nan,nan,nan,nan
0.005,0.08951450024161638,101275,12509.38553572546,0.024773538,10379,2762,443,79,nan,nan,nan,nan,nan,nan,nan,0.08220962006445703,0.01262258512543641,-0.002917585396357495,-0.00240011955191957,nan,nan,nan,nan,nan,nan,nan,0.01341801319998005,0.007272764657245074,0.001560597677899327,0.0002672945627291766,nan,nan,nan,nan,nan,nan,nan
0.002,0.08449746955868592,3416730,488718.797060483,0.9321813920000001,152882,39101,6766,1102,173,38,nan,nan,nan,nan,nan,0.08322577585030924,0.01111732016865555,-0.003137312702375072,-0.004211547495833774,-0.002155167201831593,-0.000341599060238422,nan,nan,nan,nan,nan,0.01387004924229225,0.007244257661051335,0.001736132114651377,0.000369055992807504,7.163457993877884e-05,2.610049918878918e-05,nan,nan,nan,nan,nan
0.002,0.0828852829552628,6421745,763643.9426520743,1.818237488,208825,53647,9123,1492,235,34,9,nan,nan,nan,nan,0.08323730385681968,0.01044930663619258,-0.002569790319342079,-0.003204383484014816,-0.002552826019337493,-0.001897350457862981,-0.0005769772571920762,nan,nan,nan,nan,0.01379990885024556,0.007280770882009764,0.001662597137344055,0.0003635393350722097,7.286456791789058e-05,1.111828237552898e-05,5.097875735762013e-06,nan,nan,nan,nan
0.002,0.08502663596272843,8685909,1275729.342374923,2.538762234,239613,61395,10395,1694,256,60,13,nan,nan,nan,nan,0.08372980292268416,0.01127972800520212,-0.003118070520025247,-0.003080175451717732,-0.001620161628260784,-0.00177452480876766,-0.0003899625563864113,nan,nan,nan,nan,0.01395288792922011,0.007320808683816129,0.001675181968451897,0.0003530215061784981,6.279775861058841e-05,2.272440135271593e-05,8.516416220505305e-06,nan,nan,nan,nan
0.002,0.08390061049363515,3356308,305733.4351478007,0.942144826,150900,38964,6550,1025,196,35,nan,nan,nan,nan,nan,0.08297864492494288,0.0103324235375164,-0.002984310142342612,-0.003265325889722416,-0.002445076606756998,-0.0007157453300020924,nan,nan,nan,nan,nan,0.01366332696088878,0.007232232429107346,0.001693533792298668,0.0003227279500312268,7.807480813867872e-05,1.632798927329438e-05,nan,nan,nan,nan,nan
0.002,0.08512088918649863,3237724,395717.3041520179,0.883621829,149164,38870,6416,1031,177,34,nan,nan,nan,nan,nan,0.08302541080506094,0.01043821571845588,-0.002045237212200654,-0.003973734403256873,-0.002249515506006725,-7.425021555393007e-05,nan,nan,nan,nan,nan,0.01379078116006562,0.007467732886454185,0.001630836703446443,0.0003427168577929707,7.890989974755791e-05,2.113366467206163e-05,nan,nan,nan,nan,nan
