eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Nl_7,Nl_8,Nl_9,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Yl_7,Yl_8,Yl_9,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6,Vl_7,Vl_8,Vl_9
0.005,0.0878394830232842,95543,15817.43608098611,0.016360946,10399,2819,402,72,nan,nan,nan,nan,nan,nan,0.08370428003030246,0.008381288069431976,-0.002517214464359518,-0.001728870612090718,nan,nan,nan,nan,nan,nan,0.01434878518303262,0.008030760302719419,0.001324999252940803,0.0003379794034398741,nan,nan,nan,nan,nan,nan
0.005,0.0878394830232842,95543,15817.43608098611,0.01054605,10399,2819,402,72,nan,nan,nan,nan,nan,nan,0.08370428003030246,0.008381288069431976,-0.002517214464359518,-0.001728870612090719,nan,nan,nan,nan,nan,nan,0.01434878518303262,0.008030760302719419,0.001324999252940803,0.0003379794034398741,nan,nan,nan,nan,nan,nan
0.005,0.0878394830232842,95543,15817.43608098611,0.007057313,10399,2819,402,72,nan,nan,nan,nan,nan,nan,0.08370428003030246,0.008381288069431976,-0.002517214464359518,-0.001728870612090719,nan,nan,nan,nan,nan,nan,0.01434878518303262,0.008030760302719419,0.001324999252940803,0.0003379794034398741,nan,nan,nan,nan,nan,nan
0.005,0.08783948302328422,95543,15817.43608098611,0.005740267,10399,2819,402,72,nan,nan,nan,nan,nan,nan,0.08370428003030247,0.008381288069431976,-0.002517214464359518,-0.001728870612090719,nan,nan,nan,nan,nan,nan,0.01434878518303262,0.008030760302719419,0.001324999252940803,0.0003379794034398741,nan,nan,nan,nan,nan,nan
0.005,0.08783948302328422,95543,15817.43608098611,0.004494986,10399,2819,402,72,nan,nan,nan,nan,nan,nan,0.08370428003030247,0.008381288069431976,-0.002517214464359518,-0.001728870612090719,nan,nan,nan,nan,nan,nan,0.01434878518303262,0.008030760302719419,0.001324999252940803,0.0003379794034398741,nan,nan,nan,nan,nan,nan
0.002,0.08380322258078977,6299863,214780.4784535084,0.287739488,206743,53672,8536,1515,196,44,8,nan,nan,nan,0.0833024872950901,0.0105421106897169,-0.001795472489167481,-0.003606862756366035,-0.002579572959432331,-0.0009631173671871739,-0.001096349831864217,nan,nan,nan,0.01374402758841689,0.007331742201441796,0.001523829824668479,0.0003883471290435,5.162619408692566e-05,2.060387146864677e-05,1.4338150654622e-06,nan,nan,nan
0.002,0.08380322258078977,6299863,214780.4784535085,0.289081082,206743,53672,8536,1515,196,44,8,nan,nan,nan,0.0833024872950901,0.0105421106897169,-0.001795472489167481,-0.003606862756366035,-0.002579572959432331,-0.0009631173671871739,-0.001096349831864217,nan,nan,nan,0.01374402758841689,0.007331742201441796,0.001523829824668479,0.0003883471290434999,5.162619408692566e-05,2.060387146864677e-05,1.4338150654622e-06,nan,nan,nan
0.002,0.08380322258078977,6299863,214780.4784535084,0.287780294,206743,53672,8536,1515,196,44,8,nan,nan,nan,0.0833024872950901,0.0105421106897169,-0.001795472489167481,-0.003606862756366036,-0.002579572959432331,-0.0009631173671871739,-0.001096349831864217,nan,nan,nan,0.01374402758841689,0.007331742201441798,0.001523829824668479,0.0003883471290435,5.162619408692565e-05,2.060387146864677e-05,1.4338150654622e-06,nan,nan,nan
0.002,0.08380322258078977,6299863,214780.4784535084,0.311783705,206743,53672,8536,1515,196,44,8,nan,nan,nan,0.0833024872950901,0.0105421106897169,-0.001795472489167481,-0.003606862756366036,-0.002579572959432331,-0.0009631173671871739,-0.001096349831864217,nan,nan,nan,0.01374402758841688,0.007331742201441798,0.001523829824668478,0.0003883471290435,5.162619408692567e-05,2.060387146864677e-05,1.4338150654622e-06,nan,nan,nan
0.002,0.08380322258078977,6299863,214780.4784535085,0.258454715,206743,53672,8536,1515,196,44,8,nan,nan,nan,0.0833024872950901,0.0105421106897169,-0.001795472489167481,-0.003606862756366035,-0.002579572959432331,-0.0009631173671871739,-0.001096349831864217,nan,nan,nan,0.01374402758841689,0.007331742201441798,0.001523829824668478,0.0003883471290434999,5.162619408692565e-05,2.060387146864677e-05,1.4338150654622e-06,nan,nan,nan
