eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Nl_7,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Yl_7,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6,Vl_7
0.005,0.08105745957389056,18483,0,0.007497004,2427,311,100,6,1,nan,nan,nan,0.05359977246178896,0.01765099578478732,0.006318274090280767,0.003252906958539262,0.0002355102784942446,nan,nan,nan,0.005695415236589008,0.0007536214436074697,0.0001156492000468566,1.641837673184853e-05,0,nan,nan,nan
0.005,0.08478386184318602,19886,0,0.008817208,2654,394,100,7,1,nan,nan,nan,0.05418827930079417,0.01840158444696265,0.009231609466810578,0.001426831360523516,0.001535557268095109,nan,nan,nan,0.005814136500930674,0.001038244762503647,0.0001743240444926151,1.152636247776931e-05,0,nan,nan,nan
0.005,0.07889001268586032,20273,0,0.006716489,2729,433,100,7,1,nan,nan,nan,0.05448945395360177,0.0166608909452769,0.006075767089394073,0.001719456993260477,-5.55562956729011e-05,nan,nan,nan,0.005956443754322887,0.001162061046764926,0.000171565849015902,1.126975360522007e-05,0,nan,nan,nan
0.005,0.08075531459810417,17883,0,0.005456407,2155,334,100,5,1,nan,nan,nan,0.05319037107331621,0.0173327783181833,0.007105841411973937,0.002161377561239001,0.0009649462333917169,nan,nan,nan,0.005709484854294229,0.001161807431167265,0.0001276839750913644,1.12732922584692e-06,0,nan,nan,nan
0.005,0.07634014578841967,26145,15.32882384880922,0.007435414,2905,441,100,10,2,nan,nan,nan,0.05160074480915956,0.01705892805874832,0.004949893489158082,0.002421692386663368,0.0003088870446903286,nan,nan,nan,0.00514444396883378,0.0009865704474148929,0.0001958596914199794,2.428663709558616e-05,4.09336248900054e-08,nan,nan,nan
0.002,0.08290529306639213,156068,0,0.04574779,19012,2708,387,57,7,1,nan,nan,0.05507772481581166,0.01634566318547328,0.006791996634156294,0.002010272335153347,0.001461456263431695,0.00121817983236587,nan,nan,0.006095527246407292,0.0009575514450594515,0.0001517000753209777,2.880488180719164e-05,5.393801100919267e-07,0,nan,nan
0.002,0.08373891079554784,224522,20066.62488754816,0.063934572,26250,3696,460,56,11,2,nan,nan,0.05541326803408669,0.01739163759065507,0.00621248226680159,0.002767163525978491,0.001590791405698229,0.0003635679723277691,nan,nan,0.006350098041698943,0.001005072613207405,0.0001239333603519852,1.45344836561119e-05,3.906796011209901e-06,1.07167747536907e-06,nan,nan
0.002,0.08301554673099626,148854,0,0.042926559,20118,2964,409,42,6,1,nan,nan,0.05522678000875626,0.01702763306464184,0.006284030757613844,0.001760430932970115,0.001848469007768311,0.0008682029592459034,nan,nan,0.006113978066108539,0.001076101997061809,0.0001643457036650394,1.390208532711498e-05,1.553519792267686e-06,0,nan,nan
0.002,0.08185804215594027,157494,0,0.045519057,19630,2921,413,52,7,1,nan,nan,0.05499704113173931,0.01712368237203317,0.006685459006322335,0.002461526877981445,0.0004865939250747821,0.0001037388427892194,nan,nan,0.006119629436207808,0.001071963570544237,0.0001726432690739981,2.106092841454971e-05,8.988380320121125e-07,0,nan,nan
0.002,0.08649297791494788,157860,0,0.045355099,22084,2972,398,49,7,1,nan,nan,0.05652979080304843,0.01771622770626831,0.006662200901201862,0.003055620992397872,0.001400109882928621,0.001129027629102802,nan,nan,0.006360790127533631,0.0009403776134193616,0.0001424018407762031,1.407604983169875e-05,2.231587376694828e-06,0,nan,nan
0.001,0.08204782560355629,817676,43452.46382690994,0.232971168,98252,14344,1872,235,33,7,nan,nan,0.05520035468796749,0.01723504484600922,0.005855569476257126,0.002362367131508409,0.001355774233356644,3.871522845740843e-05,nan,nan,0.006113286832295072,0.001040333344256411,0.0001410581799717457,1.734803528671335e-05,2.583915868392717e-06,5.801551954245766e-07,nan,nan
0.001,0.08225967018805858,643836,26421.73503663361,0.181653492,88276,12845,1715,214,25,4,nan,nan,0.05477088989464579,0.01727111531392696,0.005996357110356132,0.002334499924392391,0.001266314766082472,0.0006204931786548381,nan,nan,0.006128709210258789,0.001030927135229121,0.0001483738987190584,1.781259777360459e-05,1.908902868573785e-06,3.527695670997037e-07,nan,nan
