eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Nl_7,Nl_8,Nl_9,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Yl_7,Yl_8,Yl_9,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6,Vl_7,Vl_8,Vl_9
0.005,0.08676715362663662,96657,15988.65396571198,0.035223229,10617,2731,427,72,nan,nan,nan,nan,nan,nan,0.08388646463784941,0.009211089354868985,-0.005952816495817317,-0.0003775838702644613,nan,nan,nan,nan,nan,nan,0.01449484056333846,0.007640293609246612,0.001467803878105586,0.0003416379052502559,nan,nan,nan,nan,nan,nan
0.005,0.08916252445372054,114662,13879.48660513389,0.018625314,10910,2937,518,92,nan,nan,nan,nan,nan,nan,0.08242401175342406,0.01147800207908608,-0.001350407420652338,-0.003389081958137265,nan,nan,nan,nan,nan,nan,0.01328887035766382,0.007161922908556682,0.001646155756943571,0.0002965702266054251,nan,nan,nan,nan,nan,nan
0.005,0.08317024136308754,390998,12519.62166153964,0.066351194,19942,5326,868,125,19,4,nan,nan,nan,nan,0.0825547745413789,0.01160053200838593,-0.0002771928531517133,-0.003808486731914445,-0.005065082753905846,-0.001834302847705284,nan,nan,nan,nan,0.01373583683728021,0.007948106547286539,0.001557298502575469,0.0002691688187748371,5.141649619392056e-05,4.178890511609001e-06,nan,nan,nan,nan
0.005,0.08731061768308752,104333,14058.42594534227,0.017489883,10773,2959,452,80,nan,nan,nan,nan,nan,nan,0.08373685139359328,0.008430913550117937,-0.001915123054771512,-0.002942024205852185,nan,nan,nan,nan,nan,nan,0.01380521022091164,0.008105058580908908,0.00147964399349568,0.0003003937167808177,nan,nan,nan,nan,nan,nan
0.005,0.08521931812180565,420965,33957.68658201014,0.07170538899999999,21901,5443,867,154,22,4,nan,nan,nan,nan,0.08424539568151419,0.01221861410393955,-0.003244044649470385,-0.002878380450543014,-0.004200439150577534,-0.0009218274130571545,nan,nan,nan,nan,0.01471315675982165,0.007385007203622861,0.001489740845380787,0.0003357371288386139,5.664863958404516e-05,1.133464397647806e-05,nan,nan,nan,nan
0.002,0.08263050178906622,7898440,184989.8067733046,1.393811016,233560,59670,10225,1720,292,56,10,nan,nan,nan,0.08286134732248522,0.01111816654380994,-0.003174954952880209,-0.003800741334095272,-0.002170967613899755,-0.001314934396202587,-0.0008874137801510998,nan,nan,nan,0.01396105936204287,0.007313047563181783,0.001709281671599943,0.0003672210301090376,8.13139825308172e-05,2.430112217633467e-05,1.234940781482242e-06,nan,nan,nan
0.002,0.08438244866794088,2787883,302774.6186926189,0.470261468,137563,35778,6099,999,141,27,nan,nan,nan,nan,0.08289468058135914,0.01090910037306916,-0.002608959333207446,-0.004163733106815561,-0.001262716379440361,-0.001385923467024042,nan,nan,nan,nan,0.01368984861842161,0.007405926701811165,0.001717847315533254,0.0003686729218424031,5.832427390487297e-05,1.616997082392688e-05,nan,nan,nan,nan
0.002,0.08511291820736458,2978946,192636.3625605201,0.503321579,141930,37035,6179,942,166,30,nan,nan,nan,nan,0.08286928277134752,0.01073719808579433,-0.002170802974620321,-0.004182470503067079,-0.00133586797717256,-0.0008044211949173187,nan,nan,nan,nan,0.01370047134054024,0.007401377894666836,0.001664330801311952,0.0003386797474410913,7.095146540902304e-05,1.028793092261583e-05,nan,nan,nan,nan
0.002,0.0834269122225799,8642390,649423.111982653,1.438048905,241278,62747,10488,1725,261,65,12,nan,nan,nan,0.08309365212150538,0.01105025642530283,-0.002355670037992635,-0.003447866484800469,-0.002450737215570098,-0.001865782984058159,-0.000596939601806931,nan,nan,nan,0.01371794208319883,0.007458655419582888,0.001684067024175536,0.0003546630231139636,6.459746595958853e-05,2.646976313903419e-05,4.335369063914397e-06,nan,nan,nan
0.002,0.08100618847854035,63834182,432342.9269987267,10.01947577,567542,145410,24581,4007,661,118,22,6,2,nan,0.08332247829593036,0.01110839700586635,-0.002563680010648325,-0.003283192053577849,-0.003007201316337182,-0.002405437099456528,-0.000905330441831504,-0.001173718622444105,-8.61272789608649e-05,nan,0.0138903561626795,0.007349421661883796,0.001658641317886908,0.0003652243111965765,7.61406747163055e-05,2.942006940165257e-05,5.336602246155826e-06,2.46144354439803e-06,4.509688185959351e-08,nan
