eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Nl_7,Nl_8,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Yl_7,Yl_8,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6,Vl_7,Vl_8
0.005,0.08840746144871474,124567,14851.42474408495,0.015763311,11863,2856,580,103,nan,nan,nan,nan,nan,0.08364272334809916,0.01311122757532273,-0.005169944378470861,-0.003176545096236299,nan,nan,nan,nan,nan,0.01420957649066626,0.006468560029215509,0.002129704026420358,0.0003173381355573708,nan,nan,nan,nan,nan
0.005,0.08840746144871475,124567,14851.42474408495,0.009834226,11863,2856,580,103,nan,nan,nan,nan,nan,0.08364272334809918,0.01311122757532273,-0.005169944378470861,-0.003176545096236299,nan,nan,nan,nan,nan,0.01420957649066626,0.006468560029215509,0.002129704026420358,0.0003173381355573708,nan,nan,nan,nan,nan
0.005,0.08840746144871474,124567,14851.42474408495,0.007460703,11863,2856,580,103,nan,nan,nan,nan,nan,0.08364272334809918,0.01311122757532273,-0.005169944378470862,-0.003176545096236299,nan,nan,nan,nan,nan,0.01420957649066626,0.006468560029215508,0.002129704026420358,0.0003173381355573708,nan,nan,nan,nan,nan
0.005,0.08840746144871474,124567,14851.42474408495,0.005742398,11863,2856,580,103,nan,nan,nan,nan,nan,0.08364272334809916,0.01311122757532273,-0.005169944378470861,-0.003176545096236299,nan,nan,nan,nan,nan,0.01420957649066626,0.006468560029215508,0.002129704026420358,0.0003173381355573707,nan,nan,nan,nan,nan
0.005,0.08840746144871474,124567,14851.42474408495,0.00435163,11863,2856,580,103,nan,nan,nan,nan,nan,0.08364272334809918,0.01311122757532273,-0.005169944378470861,-0.003176545096236299,nan,nan,nan,nan,nan,0.01420957649066626,0.006468560029215509,0.002129704026420358,0.0003173381355573708,nan,nan,nan,nan,nan
0.002,0.08535520166323697,4370640,801589.8186078159,0.101781501,172416,44218,7782,1264,227,54,nan,nan,nan,0.08332736895257378,0.01058411970671285,-0.002810541571408081,-0.003913956612871577,-0.00162755566835172,-0.000204233143418257,nan,nan,nan,0.01370269770510426,0.007206987199110943,0.001785086991744006,0.0003720149103233184,9.663028415623212e-05,4.280967815470724e-05,nan,nan,nan
0.002,0.08535520166323698,4370640,801589.8186078159,0.101168631,172416,44218,7782,1264,227,54,nan,nan,nan,0.0833273689525738,0.01058411970671285,-0.002810541571408081,-0.003913956612871578,-0.00162755566835172,-0.000204233143418257,nan,nan,nan,0.01370269770510425,0.007206987199110944,0.001785086991744006,0.0003720149103233185,9.663028415623212e-05,4.280967815470724e-05,nan,nan,nan
0.002,0.08535520166323697,4370640,801589.8186078159,0.118020699,172416,44218,7782,1264,227,54,nan,nan,nan,0.08332736895257378,0.01058411970671285,-0.002810541571408081,-0.003913956612871577,-0.00162755566835172,-0.0002042331434182571,nan,nan,nan,0.01370269770510426,0.007206987199110944,0.001785086991744006,0.0003720149103233184,9.663028415623212e-05,4.280967815470724e-05,nan,nan,nan
0.002,0.08535520166323698,4370640,801589.8186078159,0.101129212,172416,44218,7782,1264,227,54,nan,nan,nan,0.08332736895257378,0.01058411970671285,-0.002810541571408081,-0.003913956612871576,-0.00162755566835172,-0.000204233143418257,nan,nan,nan,0.01370269770510426,0.007206987199110944,0.001785086991744006,0.0003720149103233185,9.663028415623212e-05,4.280967815470724e-05,nan,nan,nan
0.002,0.08535520166323697,4370640,801589.8186078159,0.116828313,172416,44218,7782,1264,227,54,nan,nan,nan,0.08332736895257378,0.01058411970671285,-0.002810541571408081,-0.003913956612871577,-0.00162755566835172,-0.0002042331434182571,nan,nan,nan,0.01370269770510426,0.007206987199110944,0.001785086991744006,0.0003720149103233185,9.663028415623212e-05,4.280967815470724e-05,nan,nan,nan
0.001,0.08510197359063582,36244079,2274880.833854814,0.809611875,997783,256003,43899,7145,1302,269,48,nan,nan,0.08330387815786602,0.01089124587010001,-0.00300847937681719,-0.003044631405258748,-0.001842446463186551,-0.0006852572914134582,-0.0005123359006542607,nan,nan,0.01379912985718976,0.007284109193601624,0.001692706031722855,0.0003598732957277703,9.268108469050152e-05,3.128036074992281e-05,3.796618802600217e-06,nan,nan
0.001,0.08510197359063582,36244079,2274880.833854814,0.820888942,997783,256003,43899,7145,1302,269,48,nan,nan,0.08330387815786602,0.01089124587010001,-0.00300847937681719,-0.003044631405258748,-0.001842446463186551,-0.0006852572914134582,-0.0005123359006542607,nan,nan,0.01379912985718976,0.007284109193601624,0.001692706031722855,0.0003598732957277704,9.268108469050152e-05,3.128036074992281e-05,3.796618802600217e-06,nan,nan
0.001,0.08510197359063579,36244079,2274880.833854814,0.855200645,997783,256003,43899,7145,1302,269,48,nan,nan,0.08330387815786601,0.01089124587010001,-0.00300847937681719,-0.003044631405258748,-0.001842446463186551,-0.0006852572914134581,-0.0005123359006542607,nan,nan,0.01379912985718976,0.007284109193601624,0.001692706031722855,0.0003598732957277704,9.268108469050149e-05,3.128036074992282e-05,3.796618802600217e-06,nan,nan
0.001,0.08510197359063579,36244079,2274880.833854814,0.889378719,997783,256003,43899,7145,1302,269,48,nan,nan,0.08330387815786601,0.01089124587010001,-0.00300847937681719,-0.003044631405258748,-0.001842446463186551,-0.0006852572914134582,-0.0005123359006542607,nan,nan,0.01379912985718976,0.007284109193601624,0.001692706031722855,0.0003598732957277703,9.268108469050149e-05,3.128036074992283e-05,3.796618802600217e-06,nan,nan
0.001,0.08510197359063579,36244079,2274880.833854814,0.815204805,997783,256003,43899,7145,1302,269,48,nan,nan,0.08330387815786601,0.01089124587010001,-0.00300847937681719,-0.003044631405258748,-0.001842446463186551,-0.0006852572914134583,-0.0005123359006542607,nan,nan,0.01379912985718976,0.007284109193601624,0.001692706031722855,0.0003598732957277704,9.268108469050149e-05,3.128036074992282e-05,3.796618802600217e-06,nan,nan
0.0005,0.08543073332618427,364743902,31098959.44158808,10.419369618,6334046,1623208,274709,44334,8858,1573,213,29,6,0.083085975147379,0.01116150802078062,-0.002937372137660524,-0.002968442135659776,-0.001313310567975023,-0.0005375696396447374,-0.0004400650709904899,-0.0005003463436975155,-0.0001196439463472821,0.01383345426391739,0.00726772959520589,0.001665274809299817,0.000346967011597109,0.0001108011483564876,2.792447186980538e-05,4.091472421064504e-06,5.92638134566579e-07,2.027421423355617e-07
0.0005,0.08543073332618427,364743902,31098959.44158807,10.409940619,6334046,1623208,274709,44334,8858,1573,213,29,6,0.083085975147379,0.01116150802078062,-0.002937372137660524,-0.002968442135659776,-0.001313310567975023,-0.0005375696396447374,-0.0004400650709904899,-0.0005003463436975155,-0.0001196439463472821,0.01383345426391738,0.007267729595205891,0.001665274809299817,0.000346967011597109,0.0001108011483564876,2.792447186980538e-05,4.091472421064504e-06,5.92638134566579e-07,2.027421423355617e-07
0.0005,0.08543073332618427,364743902,31098959.44158808,10.572523895,6334046,1623208,274709,44334,8858,1573,213,29,6,0.083085975147379,0.01116150802078062,-0.002937372137660524,-0.002968442135659776,-0.001313310567975023,-0.0005375696396447374,-0.0004400650709904899,-0.0005003463436975155,-0.0001196439463472821,0.01383345426391738,0.007267729595205891,0.001665274809299817,0.000346967011597109,0.0001108011483564876,2.792447186980538e-05,4.091472421064506e-06,5.92638134566579e-07,2.027421423355617e-07
0.0005,0.08543073332618427,364743902,31098959.44158808,10.885810839,6334046,1623208,274709,44334,8858,1573,213,29,6,0.083085975147379,0.01116150802078062,-0.002937372137660524,-0.002968442135659776,-0.001313310567975023,-0.0005375696396447376,-0.0004400650709904899,-0.0005003463436975155,-0.0001196439463472821,0.01383345426391738,0.007267729595205891,0.001665274809299817,0.000346967011597109,0.0001108011483564876,2.792447186980538e-05,4.091472421064504e-06,5.92638134566579e-07,2.027421423355617e-07
0.0005,0.08543073332618427,364743902,31098959.44158808,10.595223516,6334046,1623208,274709,44334,8858,1573,213,29,6,0.083085975147379,0.01116150802078062,-0.002937372137660524,-0.002968442135659776,-0.001313310567975023,-0.0005375696396447374,-0.0004400650709904899,-0.0005003463436975155,-0.0001196439463472821,0.01383345426391739,0.007267729595205893,0.001665274809299817,0.000346967011597109,0.0001108011483564876,2.792447186980538e-05,4.091472421064504e-06,5.92638134566579e-07,2.027421423355617e-07
0.0003,0.08362082744123335,936040358,50634192.67433766,18.354258985,16867046,4347448,732764,119192,20096,3608,573,83,15,0.08307556332788736,0.01104907559428629,-0.002775402197691445,-0.003256312325285561,-0.00225398356168794,-0.001139623848555738,-0.0006335638398485805,-0.0004001144097220681,-4.481129814897419e-05,0.01380961638892266,0.007342150499464974,0.001669536575074143,0.0003529690554969355,8.026131585930976e-05,2.061468974109446e-05,4.140529959298228e-06,6.741951384912578e-07,1.188350529316918e-07
0.0003,0.08362082744123338,936040358,50634192.67433766,18.696426107,16867046,4347448,732764,119192,20096,3608,573,83,15,0.08307556332788738,0.01104907559428629,-0.002775402197691445,-0.003256312325285561,-0.00225398356168794,-0.001139623848555738,-0.0006335638398485805,-0.0004001144097220681,-4.481129814897419e-05,0.01380961638892265,0.007342150499464974,0.001669536575074143,0.0003529690554969355,8.026131585930977e-05,2.061468974109446e-05,4.140529959298227e-06,6.741951384912578e-07,1.188350529316918e-07
0.0003,0.08362082744123335,936040358,50634192.67433766,18.42424527,16867046,4347448,732764,119192,20096,3608,573,83,15,0.08307556332788736,0.01104907559428629,-0.002775402197691445,-0.003256312325285561,-0.00225398356168794,-0.001139623848555738,-0.0006335638398485803,-0.0004001144097220682,-4.481129814897419e-05,0.01380961638892266,0.007342150499464974,0.001669536575074143,0.0003529690554969355,8.026131585930976e-05,2.061468974109446e-05,4.140529959298228e-06,6.741951384912577e-07,1.188350529316918e-07
0.0003,0.08362082744123335,936040358,50634192.67433766,18.11881632,16867046,4347448,732764,119192,20096,3608,573,83,15,0.08307556332788736,0.01104907559428629,-0.002775402197691445,-0.003256312325285561,-0.00225398356168794,-0.001139623848555738,-0.0006335638398485805,-0.0004001144097220682,-4.481129814897419e-05,0.01380961638892266,0.007342150499464974,0.001669536575074143,0.0003529690554969355,8.026131585930976e-05,2.061468974109446e-05,4.140529959298228e-06,6.741951384912577e-07,1.188350529316918e-07
0.0003,0.08362082744123338,936040358,50634192.67433766,18.721197252,16867046,4347448,732764,119192,20096,3608,573,83,15,0.08307556332788738,0.01104907559428629,-0.002775402197691445,-0.003256312325285561,-0.00225398356168794,-0.001139623848555738,-0.0006335638398485805,-0.0004001144097220682,-4.481129814897419e-05,0.01380961638892265,0.007342150499464974,0.001669536575074143,0.0003529690554969355,8.026131585930976e-05,2.061468974109446e-05,4.140529959298227e-06,6.741951384912577e-07,1.188350529316918e-07
