eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5
0.001,0.4983504850065536,633477408,100336974.0023479,1765.28677339,14412328,5472719,1154674,214914,37936,7201,0.2862220460764204,0.1563299974345577,0.04271457942166175,0.01031871126386009,0.002291143401877404,0.0004740074081762457,0.1639585424248907,0.1891264036282194,0.06735875166672665,0.01867117811984596,0.004648315660863709,0.001339648241639936
0.001,0.4983504850065536,633477408,100336974.0023479,1743.125308255,14412328,5472719,1154674,214914,37936,7201,0.2862220460764204,0.1563299974345577,0.04271457942166175,0.01031871126386009,0.002291143401877404,0.0004740074081762457,0.1639585424248907,0.1891264036282194,0.06735875166672665,0.01867117811984596,0.004648315660863709,0.001339648241639936
0.001,0.4983504850065536,633477408,100336974.0023479,1730.158792627,14412328,5472719,1154674,214914,37936,7201,0.2862220460764204,0.1563299974345577,0.04271457942166175,0.01031871126386009,0.002291143401877404,0.0004740074081762457,0.1639585424248907,0.1891264036282194,0.06735875166672665,0.01867117811984596,0.004648315660863709,0.001339648241639936
0.001,0.4983504850065536,633477408,100336974.0023479,1739.976476043,14412328,5472719,1154674,214914,37936,7201,0.2862220460764204,0.1563299974345577,0.04271457942166175,0.01031871126386009,0.002291143401877404,0.0004740074081762457,0.1639585424248907,0.1891264036282194,0.06735875166672665,0.01867117811984596,0.004648315660863709,0.001339648241639936
0.001,0.4983504850065536,633477408,100336974.0023479,1766.76105184,14412328,5472719,1154674,214914,37936,7201,0.2862220460764204,0.1563299974345577,0.04271457942166175,0.01031871126386009,0.002291143401877404,0.0004740074081762457,0.1639585424248907,0.1891264036282194,0.06735875166672665,0.01867117811984596,0.004648315660863709,0.001339648241639936
0.001,0.4983504850065536,633477408,100336974.0023479,1774.908367559,14412328,5472719,1154674,214914,37936,7201,0.2862220460764204,0.1563299974345577,0.04271457942166175,0.01031871126386009,0.002291143401877404,0.0004740074081762457,0.1639585424248907,0.1891264036282194,0.06735875166672665,0.01867117811984596,0.004648315660863709,0.001339648241639936
0.001,0.4983504850065536,633477408,100336974.0023479,1765.190898508,14412328,5472719,1154674,214914,37936,7201,0.2862220460764204,0.1563299974345577,0.04271457942166175,0.01031871126386009,0.002291143401877404,0.0004740074081762457,0.1639585424248907,0.1891264036282194,0.06735875166672665,0.01867117811984596,0.004648315660863709,0.001339648241639936
0.001,0.4983504850065536,633477408,100336974.0023479,1746.316051585,14412328,5472719,1154674,214914,37936,7201,0.2862220460764204,0.1563299974345577,0.04271457942166175,0.01031871126386009,0.002291143401877404,0.0004740074081762457,0.1639585424248907,0.1891264036282194,0.06735875166672665,0.01867117811984596,0.004648315660863709,0.001339648241639936
0.001,0.4983504850065536,633477408,100336974.0023479,1757.472995316,14412328,5472719,1154674,214914,37936,7201,0.2862220460764204,0.1563299974345577,0.04271457942166175,0.01031871126386009,0.002291143401877404,0.0004740074081762457,0.1639585424248907,0.1891264036282194,0.06735875166672665,0.01867117811984596,0.004648315660863709,0.001339648241639936
0.001,0.4983504850065536,633477408,100336974.0023479,1744.31280737,14412328,5472719,1154674,214914,37936,7201,0.2862220460764204,0.1563299974345577,0.04271457942166175,0.01031871126386009,0.002291143401877404,0.0004740074081762457,0.1639585424248907,0.1891264036282194,0.06735875166672665,0.01867117811984596,0.004648315660863709,0.001339648241639936
