eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6
0.0005,0.08356659293428893,98195369,10377785.07757893,29.704603801,3279489,846581,142902,23004,3827,653,115,0.08296475086948464,0.01106468207552009,-0.002558053854151243,-0.003420101137338014,-0.002547645377918376,-0.001219899944339419,-0.0007171396969687573,0.01374184517178306,0.007326155227627597,0.001669538061729765,0.0003461374302317173,7.664569985278522e-05,1.774194153018341e-05,4.32995141641282e-06
0.0005,0.08342600938442271,105034329,8794498.508893117,29.358791549,3401817,879456,148740,24111,3989,713,126,0.08295080001055508,0.01085867417585107,-0.002722913258454837,-0.003352293576666121,-0.002350322832991406,-0.001314861184617145,-0.0006430739492539379,0.01376902180286333,0.007368618631611348,0.001685685526587306,0.0003527419622039236,7.617581693765974e-05,1.937978256714116e-05,3.66935246688554e-06
0.0005,0.08356726586881918,101490497,11184579.28646183,28.413694565,3336761,863833,145889,23357,3925,676,121,0.08298209819611709,0.01091619916967289,-0.002800023769203145,-0.003377895291358588,-0.002382006121955756,-0.001232808335497915,-0.0005382979789554007,0.01378141004770846,0.007365939182329546,0.001681765602284621,0.0003445848102348636,7.783062331819107e-05,1.800770888879137e-05,4.666572352517344e-06
0.0005,0.08483995898142564,50452480,4826438.559596756,13.636640859,2354792,606891,102513,16804,2839,502,nan,0.08303900116212148,0.0110952915791901,-0.002496717472314903,-0.003509547154572436,-0.002318267861609081,-0.000969801271389532,nan,0.01376962150015333,0.007323583949418369,0.001663703333895738,0.0003541805686355965,8.345566752963849e-05,1.611003818391932e-05,nan
0.0005,0.08465819103110196,49024169,5683299.696372112,13.262998169,2324601,602622,101593,16559,2719,481,nan,0.08295089557111474,0.0108948518317671,-0.002587533345285951,-0.003545612786588379,-0.002194684580067894,-0.0008597256598376392,nan,0.01378961884885147,0.00741656222820223,0.001673903312961247,0.0003600587742178245,7.577491831326579e-05,1.897013170035285e-05,nan
0.0005,0.08342317510688584,103241895,11502515.85295229,28.871391386,3376199,869668,147557,23769,3894,681,126,0.08305992730331038,0.011071211328349,-0.002927191225042518,-0.003536839564468102,-0.002300007029473916,-0.001172122114132309,-0.0007718035916566962,0.01381350306590809,0.007332619714248321,0.001687367416275467,0.0003503854334499893,7.545109458389197e-05,1.839714832614513e-05,4.799225888518877e-06
0.0005,0.08368856181333478,102386093,7900185.876010682,28.64819242,3349981,869898,146974,23530,4018,685,121,0.08291118544095859,0.01104089881443659,-0.002782901692420315,-0.00355947475372917,-0.00219423846978431,-0.001241309343216778,-0.0004855981829098137,0.01375383530484304,0.007391551013214167,0.001692927975337916,0.0003480990373702269,7.897048235197157e-05,1.822714713715137e-05,3.296215981352485e-06
0.0005,0.08366994654344367,106546226,13031703.76994753,29.763678091,3418362,883407,148915,24388,3925,697,134,0.08298139716063709,0.01102969347655441,-0.002722363174012883,-0.003561074223294896,-0.002234580641951919,-0.001226987210724459,-0.0005961388437636616,0.01373625266745203,0.007338858356155506,0.001668050846304854,0.0003580266818146791,7.426349302658042e-05,1.866317216590278e-05,5.437253110865213e-06
0.0005,0.08373329784351123,95006227,7094303.002425831,26.450077378,3230715,834771,141406,22994,3788,616,109,0.08290834928175426,0.01113854586195929,-0.002623593700327363,-0.003344317459510301,-0.002324621572863461,-0.001346037202372097,-0.0006750273651290853,0.01374012657148549,0.007331417125966643,0.001677590234550217,0.0003574437309398277,7.987061484352822e-05,1.698013507384547e-05,2.959975284146254e-06
0.0005,0.08359854592003162,100194854,7995954.293944404,27.937816848,3323502,858903,145276,23766,3964,660,117,0.083028524051575,0.01094819726965048,-0.002762023910762894,-0.003477835560235484,-0.002361165076116289,-0.001153956499238491,-0.0006231943548406988,0.01380580641688427,0.007369514686512492,0.00167953545515974,0.0003616245935907705,7.971676160024625e-05,1.736480358136965e-05,3.336173698127294e-06
0.001,0.08333252168065999,11642697,1124973.040984765,3.19678827,566489,146838,24575,3923,639,113,nan,0.08298816149482331,0.01062906689342846,-0.003098551907174077,-0.00310626281779512,-0.002595175929849054,-0.001484716052773535,nan,0.0137892074444278,0.007362339714355322,0.001705970661880198,0.0003372938824124973,7.010242879493352e-05,1.50200678387242e-05,nan
