eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5
0.0005,0.08147993251452836,1811717,101591.3540968922,0.509618414,298261,42718,5756,777,99,nan,0.05522228689560891,0.01688471189519023,0.005920006710359055,0.002478975872627924,0.0009739511407422376,nan,0.006148762802216259,0.001009116388214775,0.0001467987825040907,2.116405624053719e-05,2.712864614849716e-06,nan
0.0005,0.08111544791811605,1882469,99647.02495553765,0.521000328,301829,43412,5719,782,114,nan,0.05512561757529443,0.01694140857092574,0.006119166784246117,0.00219923294659165,0.0007300220410580939,nan,0.006041991324204877,0.001001834814007797,0.0001393159657473556,2.041131729125249e-05,2.660943840940441e-06,nan
0.0005,0.0820079418091702,1809131,98947.20382868194,0.501873177,298203,42498,5768,758,101,nan,0.05546027676732904,0.01694679586269,0.006234789397959499,0.002306144458485175,0.001059935322706484,nan,0.006149236939734515,0.0009967600332731778,0.0001492194028953898,2.049942851791093e-05,2.642256030460423e-06,nan
0.0005,0.08175265036695262,1858213,97406.28276174836,0.513729896,303021,43311,5766,744,112,nan,0.05546404598737174,0.01682435712472387,0.005946225937615978,0.002460865754327786,0.001057155562913235,nan,0.006189073990417588,0.001010725460919747,0.0001438080298445003,1.923724500861212e-05,2.601107743050319e-06,nan
0.0005,0.08210911715401049,1755108,97670.2136032648,0.501772696,292876,42283,5682,725,95,nan,0.05526362409602379,0.01699407949004928,0.006424613973167936,0.002442285440568568,0.0009845141542009276,nan,0.006110319381616758,0.001018851816440633,0.0001471761876177178,1.914947285303423e-05,2.608155671952168e-06,nan
0.0005,0.08181573373987361,1761408,95898.20136141236,0.478371551,292512,42332,5564,752,95,nan,0.05525523177192233,0.0171160777656585,0.005949819879239772,0.002697180581171384,0.0007974237418816218,nan,0.006068637568643212,0.001017381497424741,0.0001412036957352219,2.032434114724667e-05,2.560836396106931e-06,nan
0.0005,0.08226176475163441,2466655,30342.82037769395,0.6866393079999999,344335,50082,6693,894,116,11,0.05516950068212328,0.01716372832813639,0.006033332676833817,0.002340091075415762,0.001092058823230113,0.0004630531658950482,0.00609082727804577,0.001025340025292704,0.0001472359987095346,2.030272607494556e-05,2.687927964373151e-06,1.012804760397272e-07
0.0005,0.08154907078109347,1926051,121396.3662810862,0.540626988,304347,44425,5866,740,125,nan,0.05520983491112126,0.01696272065082475,0.005885798018808642,0.002599548457772211,0.0008911687425665861,nan,0.006028867515488937,0.001033744075920372,0.0001434003911667625,1.900920598127001e-05,3.241731635363336e-06,nan
0.0005,0.0810858341162017,1747227,88367.64860352789,0.484113632,292203,42014,5683,747,91,nan,0.05526987274192867,0.01683960691167644,0.006029638022560336,0.0021033623963626,0.0008433540436736469,nan,0.00611743940614488,0.001012322946904726,0.0001478450984079515,2.038351570667377e-05,2.359742806118561e-06,nan
0.0005,0.08257325895502382,2484852,96600.98650019799,0.696942731,347436,50193,6739,828,103,14,0.05526437719157767,0.01690139266046418,0.005997786690954868,0.002704151967045026,0.00127813813272166,0.0004274123122604028,0.00608307738291538,0.001015907206138885,0.0001457782674560734,1.757079899004718e-05,2.162521331733778e-06,3.224418091944978e-07
0.001,0.08238779500735841,382548,15454.84668532628,0.104496191,67772,9763,1330,152,18,nan,0.0552219516218144,0.0170582165298402,0.006464185377851004,0.00312788582959988,0.0005155556482529188,nan,0.006038833795444591,0.001002974983078975,0.0001486936467028275,1.541456579335742e-05,1.650806097556749e-06,nan
0.001,0.08249075652182074,459367,28100.99428065529,0.127815422,75087,10699,1371,196,27,nan,0.05564328572012098,0.01740758113604986,0.005830776378264414,0.002579406492719003,0.001029706794666488,nan,0.006176290306845279,0.001002351818013952,0.0001328756983954743,2.121269626479609e-05,3.001601610836924e-06,nan
0.001,0.08238311913495833,434420,18668.0152349682,0.12010203,73516,10665,1426,192,21,nan,0.05571764054155419,0.01675102259351563,0.006291285587561303,0.002619976637720751,0.001003193774606465,nan,0.006259340863181327,0.001053678705727313,0.0001503440317917227,2.156996624039236e-05,1.99401999946253e-06,nan
0.001,0.08255046971735672,457333,21426.62950655323,0.126354655,73749,10708,1431,179,28,nan,0.05488056234092174,0.01717991135727747,0.006865841544191281,0.002358018154573427,0.001266136320392802,nan,0.006005422985542234,0.001009078061912658,0.000141524017000502,1.689405154247325e-05,2.28868078472049e-06,nan
0.001,0.08058827408801525,250811,18863.96352702248,0.067306044,56099,8059,1019,127,nan,nan,0.05552326455453874,0.01711350500122772,0.005873980495985085,0.002077524036263704,nan,nan,0.00628147490058769,0.00103371394014416,0.0001326827660559934,1.612304574959187e-05,nan,nan
0.001,0.08234896079263394,463678,28296.74859879672,0.127557869,74550,10857,1491,188,27,nan,0.05530476316635231,0.01720079869171426,0.005978527370837473,0.002472913562986966,0.001391958000742934,nan,0.006016892024272474,0.001022089898864189,0.0001535405715897396,1.928961242963305e-05,3.022511065883008e-06,nan
0.001,0.08206283081195109,467766,31816.63531255285,0.128889529,75430,10986,1469,187,28,nan,0.05579939404300742,0.01674767913828229,0.006499831431043935,0.002430296695112851,0.0005856295045045987,nan,0.006101197880687902,0.001032827497285326,0.000147944460232275,1.896092663870609e-05,3.398487001981719e-06,nan
0.001,0.08182446777473021,405554,13869.0161967098,0.111137628,70170,9907,1346,188,18,nan,0.05519307489073889,0.01680881874906484,0.006563570126005322,0.00216880592685932,0.001090198082061829,nan,0.006120033199651211,0.0009732177097146364,0.000145404854008979,2.162996845148179e-05,1.481415957777163e-06,nan
0.001,0.08205898790019046,363769,8392.560761733017,0.09920190299999999,66249,9886,1253,158,14,nan,0.05537865400396982,0.01742915189402772,0.006072889599950385,0.002388343981140082,0.0007899484211024604,nan,0.006166837140553741,0.001082507556796784,0.0001387135176342264,1.765613304595548e-05,8.964495579719095e-07,nan
0.001,0.08246024280888063,459137,26127.89537606992,0.12554453,74257,11014,1421,186,27,nan,0.05524693328231148,0.01704626035817524,0.006627517902619316,0.002528433220840935,0.001011098044933661,nan,0.006074509656026839,0.001068953063738667,0.0001434279944490422,1.865750544191745e-05,2.790845479178586e-06,nan
