eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6
0.0005,0.08487817746898642,50041460,5032101.810416742,7.741949994,2349348,606114,102137,16855,2797,495,nan,0.08311026415818544,0.01089384067740861,-0.002570430945833813,-0.003786529973096434,-0.002081994985552029,-0.00068697146212534,nan,0.01383640058859067,0.007334530420604742,0.001669710165487834,0.0003557021984771113,8.216505592455153e-05,1.679651596309895e-05,nan
0.0005,0.08361376013031079,92526869,7806883.301942887,13.224515998,3188045,825729,139919,22642,3838,586,104,0.08293189120505585,0.01098568401057709,-0.002759322784024045,-0.003582113497014816,-0.002148207656477543,-0.001169334705822704,-0.0006448364419830539,0.01374735656181354,0.007370456612960874,0.001690847743631209,0.0003552027752541765,7.882205988993497e-05,1.54081760747342e-05,3.257287095302163e-06
0.0005,0.08384554278637633,107170362,12844184.72581517,15.392839314,3433994,884774,149964,24448,4039,690,135,0.08301465139296269,0.01107828469667501,-0.002830722869749791,-0.00354664438314359,-0.002089082195914568,-0.001111605951359705,-0.00066933790309372,0.01379211067009067,0.007327868919065599,0.001682989602324619,0.0003576977972279489,7.847327361389197e-05,1.832313413951433e-05,5.359014031459001e-06
0.0005,0.08362676751553771,105045884,9137166.232301349,17.233683338,3397148,878764,147568,23980,4069,708,126,0.08296117216403347,0.01087400667413026,-0.002548368450254603,-0.003431931477087921,-0.002176424008737415,-0.001452115243030397,-0.000599572143515673,0.01376211960365977,0.007372958408257997,0.001664140302971008,0.0003543592381886744,7.909884026814919e-05,1.844177321975874e-05,3.812324650568166e-06
0.0005,0.08385591334841153,109446339,12199331.64963385,16.204337683,3470123,898939,150559,24455,4188,751,133,0.08300012855637104,0.01120854893245115,-0.002849056291939722,-0.003461877491689591,-0.002097038109375752,-0.001388421884920625,-0.0005563703624849758,0.01378097489343777,0.0073740586366369,0.001665597733740937,0.0003511288767218916,8.023333144899736e-05,1.967031761064091e-05,5.089960233397414e-06
0.0005,0.08297994440142283,97182828,9527796.639678258,14.0118853,3272644,845021,142847,23311,3819,635,113,0.08305782591957461,0.01106226485449741,-0.003086065625839621,-0.003572636852101334,-0.002193858637206685,-0.001406971190666573,-0.00088061406683499,0.01380870138502604,0.007339919665477235,0.00168807066502761,0.0003551531857758802,7.535116470119638e-05,1.719641871346574e-05,3.975308434976059e-06
0.0005,0.08321387394396482,101685705,9829174.939302366,14.635253976,3346961,866071,145636,23371,3808,688,122,0.08301621230277639,0.01086038837309067,-0.002709836753909461,-0.003601387074987215,-0.002239145485563764,-0.001439174738779674,-0.0006731826786621373,0.01377956755720349,0.007385135427108827,0.001670365379741134,0.0003435589422524922,7.338879388787632e-05,1.923099923893426e-05,4.101053320380636e-06
0.0005,0.083451229814135,101028379,10960395.94722158,14.713662224,3327379,858657,145862,23645,3861,683,119,0.0829585471979743,0.01105132581430093,-0.00282367476950246,-0.003463567303848811,-0.002357522460992417,-0.001377846696977574,-0.0005360319668189726,0.01371673816560196,0.007307719176692705,0.001686882982238493,0.0003538181167773878,7.564479623472282e-05,1.887306256447707e-05,4.573035729815774e-06
0.0005,0.08340928074476804,101327642,10595906.10047192,14.644345983,3343658,862614,145541,23640,3936,690,118,0.08297796407444141,0.01103193344193581,-0.002612529468363193,-0.00355960816079175,-0.002228320556092078,-0.001383384967339819,-0.000816773619022333,0.01379880209797658,0.007344484806976516,0.001672629972312673,0.0003540713106321217,7.826592131971225e-05,1.881346311679453e-05,4.420958642421519e-06
0.0005,0.08359838431291983,110354878,13892679.90246041,15.904482525,3484302,902006,151862,24815,4151,718,140,0.08304379046855608,0.01101526039479592,-0.002770254329724503,-0.003431156486838509,-0.002236297417969894,-0.001232643838940472,-0.000790314476958786,0.01376523139379907,0.007379672598082117,0.001673542504903817,0.0003573678352368411,7.990287389132578e-05,1.914696861366077e-05,5.796480517927826e-06
