eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Nl_7,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Yl_7,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6,Vl_7
0.0005,0.1004176254499852,261387676,28733327.69689999,72.76432112400001,10730060,2692002,354305,58087,10021,1652,311,nan,0.1659429210219296,-0.0516425019914061,-0.01068132426021392,-0.002519158761525983,-0.0005592799012440169,-0.0001264638189221721,3.433161367783746e-06,nan,0.05512437525451605,0.02774044728780253,0.003851586584510019,0.0008254667604316116,0.0001970908150875325,4.278053954182584e-05,1.198848425067508e-05,nan
0.0005,0.1011863355632655,279917453,32687104.62010435,79.115738054,11113005,2780756,365387,60294,10245,1844,343,nan,0.1660288004275096,-0.05160368263923188,-0.01033896885540904,-0.002447195805945933,-0.0005657365539798401,-0.0001708083924239821,0.0002839273827466174,nan,0.05517264203889621,0.02764168519970085,0.003815317122682567,0.0008307905407999788,0.0001921399617132073,4.97149663801064e-05,1.363812932048828e-05,nan
0.0005,0.1002485264967813,282641293,32761361.87575431,80.199339759,11159445,2795127,368505,59941,10258,1896,346,nan,0.1661062947326015,-0.05168810788805977,-0.01060837642867041,-0.002565903232300108,-0.0006267098632289085,-0.0005094857848896581,0.0001408149613286467,nan,0.05514223099149058,0.02765999145716476,0.003844973510339187,0.0008136120446672747,0.0001916972595263538,5.079818028853082e-05,1.366911187667699e-05,nan
0.0005,0.1007155385002826,274111793,32340115.77056924,76.269538399,10985521,2754352,364262,59061,10026,1750,340,nan,0.1658656683398428,-0.05164809100693805,-0.01042704482025145,-0.002630409544191574,-0.0004856847406486566,9.512658543920286e-05,-5.402631296970523e-05,nan,0.05507026501776691,0.02768172417261441,0.003874016133108993,0.0008171009360718477,0.0001873445814950059,4.584817864475697e-05,1.34933542216312e-05,nan
0.0005,0.1013653680058412,262980716,24696226.61862561,73.08245929100001,10761844,2693535,354452,57918,9890,1742,308,nan,0.1659978901265301,-0.05170738515475312,-0.01045357816895274,-0.002277247460895,-0.0003926193662119318,7.141076075715558e-05,0.0001268972693667506,nan,0.05508091468905393,0.02759258130280802,0.003831420237520226,0.000826973655417702,0.0001936794145537871,4.739792037548013e-05,1.030407361763526e-05,nan
0.0005,0.1006636118322176,287059685,34725011.93469889,80.884070358,11250685,2817733,373067,60445,10288,1794,372,nan,0.1659740476353137,-0.05159574896596253,-0.01032620432095142,-0.002564181210620923,-0.0006875366533830773,-0.0001440999080394995,7.335255861348417e-06,nan,0.05512930832003145,0.02767670733560435,0.003877824080937176,0.0008156042047079325,0.0001884704390550087,4.552509388621693e-05,1.448841091693518e-05,nan
0.0005,0.1000236014428454,258921136,23425581.68776573,71.81567854799999,10670424,2672083,353163,57936,9989,1704,297,nan,0.1660910021642605,-0.05171032004520244,-0.01060931992069017,-0.002695274485212033,-0.0008132418237771033,-0.0001441044179723483,-9.514002856101059e-05,nan,0.05519818019424462,0.02769971632604763,0.003859914785127624,0.0008338983780826543,0.0001981330705186149,4.697633988634815e-05,9.773918986660959e-06,nan
0.0005,0.1006402607246058,284379702,33662342.74233107,79.277344552,11192974,2803821,370265,60403,10412,1820,358,nan,0.1659758729506603,-0.051580927242677,-0.01055633418966023,-0.002402320187812757,-0.000607855281949011,-0.0002815996541931539,9.342433023767834e-05,nan,0.05509999948897261,0.02767579124872815,0.003859673011314186,0.0008228071847465703,0.0001934212572013205,4.795135412423996e-05,1.404503056744111e-05,nan
0.0005,0.1005185177513996,271656945,29721286.39459746,78.91379879900001,10934153,2740165,361289,58944,10168,1790,325,nan,0.1659325898389869,-0.0516944484002165,-0.01061452438517535,-0.002523435034047177,-0.0006171943042099726,-9.61624623083138e-05,0.0001316924983699862,nan,0.05506864807685841,0.02766989940103963,0.003848664607368037,0.0008202607022118149,0.000194331061850984,4.833580729174877e-05,1.240069293783461e-05,nan
0.0005,0.1006973767110414,267544214,29051097.27177208,74.958440307,10850230,2720012,356914,58241,10292,1748,316,nan,0.1660496260666591,-0.05154426676895683,-0.01028929360245971,-0.002674762245377938,-0.0009489628287980827,4.987944641014566e-05,5.515664356467733e-05,nan,0.05509701192320328,0.02769999832262904,0.003815470711988392,0.000812850027263138,0.0002029305178871895,4.648821288577008e-05,1.212106811231074e-05,nan
