level,ave_Pf-Pc,ave_Pf,var_Pf-Pc,var_Pf,kurtosis,check,cost,N
0,10.1927,10.1927,160.378,160.378,4.18536,0,0.033391,1000000
1,0.153325,10.3577,2.37382,186.276,14.3345,0.000672387,0.043677,1000000
2,0.0546422,10.427,1.26061,200.615,11.7045,0.000864632,0.0696701,1000000
3,0.0192949,10.4079,0.675828,207.81,9.51738,0.00231085,0.136799,1000000
4,0.00944992,10.4587,0.352339,213.893,7.79607,0.00255404,0.277928,1000000
5,0.00422764,10.4498,0.180018,215.001,6.83794,0.000826854,0.541726,1000000
6,0.00193906,10.4407,0.0906647,215.41,6.29255,0.000709581,1.06984,1000000
7,0.00104101,10.4358,0.0458772,215.643,6.03123,0.000382334,2.15827,1000000
8,0.00053635,10.4556,0.0230417,216.574,5.93202,0.00126685,4.29874,1000000
9,0.000318365,10.469,0.0115219,217.065,5.90335,0.000869055,8.59704,1000000
10,1.06472e-05,10.4406,0.00576087,215.763,5.83344,0.00189653,17.1798,1000000
