level,ave_Pf-Pc,ave_Pf,var_Pf-Pc,var_Pf,kurtosis,check,cost,N
0,10.2106,10.2106,161.419,161.419,4.21283,0,0.0863925,1000000
1,0.155851,10.3604,2.36219,186.153,14.1159,0.000348788,0.0707286,1000000
2,0.0535475,10.4104,1.2661,200.741,11.8403,0.000207446,0.0709827,1000000
3,0.0209153,10.4293,0.674891,209.179,9.40756,0.000120108,0.0768899,1000000
4,0.00851247,10.4463,0.35105,212.129,7.63459,0.000522271,0.0871201,1000000
5,0.00435089,10.4519,0.18004,215.139,6.90226,7.98703e-05,0.127267,1000000
6,0.00193767,10.4691,0.0913766,216.549,6.28345,0.000980434,0.156678,1000000
7,0.000833548,10.4694,0.0459604,217.029,6.11573,3.63647e-05,0.250888,1000000
8,0.000512683,10.4806,0.0230451,217.12,5.89823,0.000699806,0.434565,1000000
9,0.000155732,10.4637,0.011537,216.915,5.90781,0.00113205,0.748236,1000000
10,0.000142078,10.4709,0.0057683,216.692,5.81352,0.000476554,1.46577,1000000
