eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Nl_7,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Yl_7,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6,Vl_7
0.0005,0.08321143385471277,100323532,8962775.736659186,26.497107041,3319396,861645,144608,23602,3910,666,118,nan,0.08299649631518924,0.01098793431232493,-0.002736105663267875,-0.003614439582634324,-0.002425064789754225,-0.001147288867450446,-0.0008500978696945181,nan,0.01376174819071689,0.007386003401338813,0.001678076566813601,0.0003503600829562554,7.672316293882516e-05,1.711528115408145e-05,3.739563231058129e-06,nan
0.0005,0.08354113470424226,99294779,9090709.860231312,25.901764417,3311635,856245,144602,23429,4029,648,115,nan,0.08302723885245443,0.01081509720482085,-0.002833179537310808,-0.003365221323778114,-0.002241564605894987,-0.001391621518000669,-0.0004696143680484271,nan,0.01381145565768284,0.00737145123802504,0.001690492718502154,0.0003541061830137191,8.16477110017881e-05,1.776627671555851e-05,3.792941532442059e-06,nan
0.0005,0.08397621090526482,112031583,13553857.6079139,28.525612334,3515671,906369,153057,24915,4121,687,150,nan,0.08305980933470572,0.01107286339293311,-0.002850881946068157,-0.00345304656994537,-0.002234275193015266,-0.001229362791647118,-0.0003888953216981135,nan,0.01380549276094574,0.007346769156196069,0.001675646344879908,0.0003541261428929699,7.760264918410523e-05,1.726607541969656e-05,5.655112772959441e-06,nan
0.0005,0.08364817239587782,98725280,9534357.191824764,24.966774834,3296752,852326,143810,23546,3899,648,115,nan,0.08302769421705808,0.01089589821143728,-0.002630684079869014,-0.003522638760402355,-0.002118662383553426,-0.0011013790992498,-0.0009020557095429202,nan,0.01377578317162885,0.007391139757909508,0.001682256906144639,0.0003629483974743467,7.791518960833737e-05,1.739709717188115e-05,3.978045711942854e-06,nan
0.0005,0.08335638486428809,104026563,11493963.0224411,26.318620708,3379027,873958,147621,24141,4013,699,124,nan,0.08296883703975368,0.01087433091951931,-0.00268662537701842,-0.003261175246120314,-0.002272692280146537,-0.001463074893889414,-0.0008032152978102233,nan,0.0137615615390054,0.007384321033689956,0.001680107806136867,0.0003606715180218159,7.953511826524333e-05,1.860153665168623e-05,4.795657367846169e-06,nan
0.0005,0.08315256900679413,184445478,15308787.90375493,47.596494708,4494718,1158461,195331,31757,5225,870,143,26,0.08307493978522643,0.01108560968973482,-0.002780754809030896,-0.003440830513864723,-0.002064280572869917,-0.001246045900079203,-0.001010398995583669,-0.0004656696767387041,0.01383869941056682,0.007367078939674964,0.001675725816475786,0.0003532477476637067,7.615178754550233e-05,1.742571620228236e-05,3.743901470844277e-06,7.984155544162461e-07
0.0005,0.08346193284381262,97947243,9321552.513430608,24.65251325,3266139,844338,143322,22928,3889,655,113,nan,0.08286666954410729,0.01101494511275277,-0.002717296063090449,-0.003329585671776371,-0.002202301136734178,-0.0013451522335874,-0.0008253467078590435,nan,0.01376695252674904,0.007363863260842184,0.001690658321966765,0.0003499309988721498,8.05182492059447e-05,1.807041318898852e-05,3.889256638769351e-06,nan
0.0005,0.08372838146468427,106752868,12326892.14583033,26.824858542,3420324,883424,148911,24108,4026,703,133,nan,0.08295167055835118,0.01086474329206007,-0.002745800183971069,-0.003238198019445975,-0.002457059159909562,-0.001080178318632959,-0.0005667967037674391,nan,0.01377601112797023,0.007352658953364631,0.001671052951336548,0.0003501351016303617,7.799181799935058e-05,1.818340509876498e-05,5.143182645217981e-06,nan
0.0005,0.08362958937255233,100745347,11164984.51921418,25.358535041,3318355,857422,145295,23888,3863,664,120,nan,0.08291364865570867,0.01098078264795494,-0.002719409971588302,-0.003411349265266591,-0.002144662738448326,-0.001109190872858427,-0.0008802290829496584,nan,0.01375125861238168,0.007361190186756475,0.001686590333102885,0.0003619191071987952,7.628073206924886e-05,1.67499735146033e-05,4.658396774630157e-06,nan
0.0005,0.08420133520688253,95946161,9301575.53246499,23.942812334,3243529,836261,141170,23147,3812,623,111,nan,0.08299249210679874,0.0111093269905465,-0.002684555686591422,-0.003381397974374669,-0.002263361546306828,-0.00106291434139979,-0.0005082543417899995,nan,0.01378322852138885,0.007332905557219545,0.00167026140040691,0.0003593475476132907,7.872627558814588e-05,1.667235890251916e-05,3.880921588815907e-06,nan
0.001,0.08348251068678696,12067793,1198026.075339559,2.937913375,573777,149280,25246,4113,662,118,nan,nan,0.08290502387022806,0.01081737760843396,-0.002886754523697506,-0.00378395435814451,-0.00229925722475209,-0.001269924685280968,nan,nan,0.01369691010555905,0.007358369625458669,0.00169282051206708,0.0003630301080402099,7.405896113128273e-05,1.599543479584981e-05,nan,nan
0.001,0.08510003660327363,12919265,1092159.261316626,3.145257417,595177,153207,26085,4208,736,130,nan,nan,0.08293404433740087,0.01142483830935447,-0.002662705238150597,-0.003200558098281268,-0.002340186626907819,-0.001055396080142016,nan,nan,0.01377479220325675,0.007236270692027313,0.001705039619365579,0.0003488165606982005,8.097192447828901e-05,1.458195494294408e-05,nan,nan
0.001,0.085853274852792,6006922,684519.5124428665,1.413767083,407530,105236,17560,2937,520,nan,nan,nan,0.08301649850309951,0.01072253063728861,-0.002516528224911844,-0.003250607536441895,-0.002118618526242386,nan,nan,nan,0.0137638183558374,0.007355612846689483,0.001648737146378102,0.0003649688970730242,7.311680329447409e-05,nan,nan,nan
0.001,0.08459945387950742,11555663,1271731.404408201,2.814052708,564095,147426,24523,3971,636,110,nan,nan,0.08315778076369118,0.01102722539624901,-0.002256586415443156,-0.003535685394754024,-0.002670219503744208,-0.001123060966491384,nan,nan,0.01381726407340718,0.007551284192238326,0.001665608927207141,0.0003457683029369478,7.168316203513593e-05,1.697951086021256e-05,nan,nan
0.001,0.08447213360838822,11573483,926474.8858910081,2.814104584,564923,146494,24561,4014,628,111,nan,nan,0.08326653221077274,0.01130054313698216,-0.002859159664255157,-0.003327338751323082,-0.002926547556567971,-0.0009818957672204579,nan,nan,0.01386412295548933,0.007417286719917372,0.001652815497325131,0.0003699823279025003,6.930707655598837e-05,1.236982143569933e-05,nan,nan
0.001,0.0844521378868721,13237529,1765336.102586437,3.224775083,605385,156042,26192,4264,717,140,nan,nan,0.083182743709589,0.01156362769993161,-0.002665365221698445,-0.003231223737516094,-0.002449308298810803,-0.001948336264623164,nan,nan,0.01385550538936886,0.007353166101996268,0.001661387761362318,0.0003500540103761341,7.998168870859705e-05,2.356986972397711e-05,nan,nan
0.001,0.0838956442238461,12489648,1028491.395967033,3.031500416,585512,150945,25542,4267,695,123,nan,nan,0.08281644121824548,0.01080699522713014,-0.00254480839047696,-0.003940872220880523,-0.00256978303944384,-0.0006723285707282028,nan,nan,0.01376207247218939,0.00734565022601875,0.001678131748064869,0.0003808369048994444,7.677873949460356e-05,1.373189398871843e-05,nan,nan
0.001,0.08339940298443155,12404116,1517547.896880625,3.064644541,584324,150658,25580,4030,664,128,nan,nan,0.08300871107933559,0.01101051815514355,-0.003278074692751782,-0.00365119236231963,-0.002672437906585836,-0.001018121288390351,nan,nan,0.01376755912550019,0.007329410183498742,0.001685484355536507,0.0003347745943321197,7.272370981551178e-05,2.026152763599329e-05,nan,nan
0.001,0.08359109987222556,13540514,1755043.48445944,3.400396791,609002,157335,26540,4393,742,143,nan,nan,0.0828696813709872,0.01089654740188666,-0.002700788050640553,-0.003392554575082501,-0.002418922297001899,-0.001662863977923337,nan,nan,0.01373828125878953,0.007350586955411932,0.00167000750362122,0.0003641701506001646,8.44202355675882e-05,2.34324479219664e-05,nan,nan
0.001,0.08519177465364276,5977542,612532.2394895073,1.4169155,407078,104164,17874,2906,514,nan,nan,nan,0.08307067683662715,0.01097511408158776,-0.002816506731790906,-0.00393264449613777,-0.002104865036643479,nan,nan,nan,0.01386011077436039,0.007289499081951478,0.001694680440734962,0.0003485355474618289,6.542749834325007e-05,nan,nan,nan
0.005,0.09133708198796882,37701,8525.011703888034,0.007610292,6629,1780,263,nan,nan,nan,nan,nan,0.08391714343194362,0.01038931144438575,-0.002969372888360553,nan,nan,nan,nan,nan,0.01458677259839138,0.008359962519097066,0.00145976227806302,nan,nan,nan,nan,nan
0.005,0.09210076423909573,47935,8895.737813593425,0.009378375,8663,2405,313,nan,nan,nan,nan,nan,0.08277126806897384,0.009957843224346247,-0.0006283470542243457,nan,nan,nan,nan,nan,0.01359918257724346,0.007651814292238958,0.001523242776300244,nan,nan,nan,nan,nan
0.005,0.08629916186320946,35145,8487.570163387716,0.007359375,6113,1581,256,nan,nan,nan,nan,nan,0.08173617827656354,0.009153079056875631,-0.004590095470229698,nan,nan,nan,nan,nan,0.01343023487123567,0.007060193021071318,0.001453351055374609,nan,nan,nan,nan,nan
0.005,0.09241761339652518,39619,10183.48704379998,0.008200041,6899,1738,294,nan,nan,nan,nan,nan,0.08760237135761979,0.008281826260332706,-0.003466584221427316,nan,nan,nan,nan,nan,0.01510839101304057,0.007402072585576625,0.001743747781472599,nan,nan,nan,nan,nan
0.005,0.08377870947132167,41144,11847.30142022485,0.008534125,6360,1740,326,nan,nan,nan,nan,nan,0.07928389611901564,0.01104701953948049,-0.006552206187174461,nan,nan,nan,nan,nan,0.01230291701581108,0.007381032077127666,0.00202864750346316,nan,nan,nan,nan,nan
0.005,0.09130301644780359,35838,7935.264285786371,0.007142875,6126,1682,254,nan,nan,nan,nan,nan,0.08282000816193627,0.01345696836177053,-0.004973960075903213,nan,nan,nan,nan,nan,0.01326843670287381,0.00775996069039945,0.001358778131127803,nan,nan,nan,nan,nan
0.005,0.0932820237990527,36733,8640.529060675899,0.007365375,6125,1610,277,nan,nan,nan,nan,nan,0.08188073634205724,0.01104055601284864,0.0003607314441468154,nan,nan,nan,nan,nan,0.01340165891885575,0.007058430097068589,0.00147954264737601,nan,nan,nan,nan,nan
0.005,0.09877233192212624,33750,7329.339251039787,0.006700709,6158,1497,244,nan,nan,nan,nan,nan,0.08420990481470664,0.01506132524922332,-0.0004988981418037252,nan,nan,nan,nan,nan,0.01452942322115795,0.006856631632031832,0.001255023844356128,nan,nan,nan,nan,nan
0.005,0.09265417681766394,41002,11149.64332856945,0.008064125,6866,1771,312,nan,nan,nan,nan,nan,0.08511339974923582,0.01332318850403404,-0.005782411435605915,nan,nan,nan,nan,nan,0.01452111873385396,0.007238752819517409,0.001909185501467372,nan,nan,nan,nan,nan
0.005,0.09585460343071234,44050,11108.20732711532,0.008903833,7402,1773,351,nan,nan,nan,nan,nan,0.0834706832184119,0.01377308988008154,-0.001389169667781111,nan,nan,nan,nan,nan,0.01473123855735934,0.007227829496065964,0.001902090295738925,nan,nan,nan,nan,nan
0.01,0.09245999221790294,11488,2677.147375631254,0.002375667,1488,450,100,nan,nan,nan,nan,nan,0.07802928761912377,0.01648440447397735,-0.00205369987519818,nan,nan,nan,nan,nan,0.0112886343646853,0.007259112622930749,0.001833662586048805,nan,nan,nan,nan,nan
0.01,0.09413706041292087,10322,1327.399697420801,0.002197084,1346,322,100,nan,nan,nan,nan,nan,0.08112493626772624,0.01715397187798716,-0.004141847732792528,nan,nan,nan,nan,nan,0.01335447598007597,0.005935007631232081,0.0009091778749457539,nan,nan,nan,nan,nan
0.01,0.1064780161741087,11472,2070.179639704161,0.002444208,1632,430,100,nan,nan,nan,nan,nan,0.08306485701393052,0.02034082464667268,0.003072334513505545,nan,nan,nan,nan,nan,0.013256426925483,0.008133745387713656,0.001417931260071343,nan,nan,nan,nan,nan
0.01,0.08866784510757068,11283,2788.231469073921,0.002429166,1683,400,100,nan,nan,nan,nan,nan,0.08316703678290144,0.009366927815513215,-0.003866119490843961,nan,nan,nan,nan,nan,0.01387376488918326,0.005180798905989827,0.00190974758155748,nan,nan,nan,nan,nan
0.01,0.1017534103711784,11353,2561.447744545882,0.002360666,1641,414,100,nan,nan,nan,nan,nan,0.08123387620612163,0.01367208790913441,0.006847446255922342,nan,nan,nan,nan,nan,0.01364478974304838,0.007035937060732268,0.001754416263387591,nan,nan,nan,nan,nan
0.01,0.09059216759799339,11984,1572.220754995644,0.00252875,1656,491,100,nan,nan,nan,nan,nan,0.08475319139292063,0.004134913174910209,0.001704063030162542,nan,nan,nan,nan,nan,0.01629294133451823,0.008108609264234566,0.001076863530818934,nan,nan,nan,nan,nan
0.01,0.0925515570009285,12342,2315.571416751151,0.002484459,1670,534,100,nan,nan,nan,nan,nan,0.08478954983292829,0.01009872792540765,-0.002336720757407423,nan,nan,nan,nan,nan,0.01377453023161142,0.008152532853777036,0.001586007819692569,nan,nan,nan,nan,nan
0.01,0.08927236769672757,11843,2122.116738799179,0.00238825,1747,462,100,nan,nan,nan,nan,nan,0.0855738220745542,0.00287566323033472,0.0008228823918386435,nan,nan,nan,nan,nan,0.01504189583270701,0.008539565207827719,0.001453504615615876,nan,nan,nan,nan,nan
0.01,0.1049856562153912,11295,2031.625362897066,0.002457209,1575,415,100,nan,nan,nan,nan,nan,0.08344988662381748,0.0200575013817664,0.001478268209807337,nan,nan,nan,nan,nan,0.01396152811347171,0.007745242496746421,0.001391524221162374,nan,nan,nan,nan,nan
0.01,0.08683396600834278,12513,2296.815035952563,0.002672167,1681,554,100,nan,nan,nan,nan,nan,0.08385786751885323,0.01063327457639143,-0.00765717608690187,nan,nan,nan,nan,nan,0.01416535750737449,0.009072877795511667,0.001573160983529153,nan,nan,nan,nan,nan
0.05,0.08935778747132166,7300,110.4778600681119,0.001739791,100,100,100,nan,nan,nan,nan,nan,0.0787816495820983,0.009043854197511355,0.001532283691712009,nan,nan,nan,nan,nan,0.01371033920498389,0.005233608350091591,0.001891744179248491,nan,nan,nan,nan,nan
0.05,0.0848294045776532,7300,90.96514311096729,0.001651,100,100,100,nan,nan,nan,nan,nan,0.06774290290039869,0.0139034495906347,0.003183052086619817,nan,nan,nan,nan,nan,0.009416797234634016,0.007213075971948892,0.001557622313543961,nan,nan,nan,nan,nan
0.05,0.1177526252302326,7300,56.43492598383213,0.001647917,100,100,100,nan,nan,nan,nan,nan,0.1039469397820467,0.01037528851322532,0.003430396934960634,nan,nan,nan,nan,nan,0.01948032723209074,0.008863408212695035,0.0009663514723258928,nan,nan,nan,nan,nan
0.05,0.0699827694063571,7300,86.74037642858751,0.001663625,100,100,100,nan,nan,nan,nan,nan,0.06839690743995057,0.003130004542264012,-0.001544142575857489,nan,nan,nan,nan,nan,0.01903468930256871,0.01045027491174804,0.001485280418297732,nan,nan,nan,nan,nan
0.05,0.1003158981638229,7300,125.9213853544075,0.001661833,100,100,100,nan,nan,nan,nan,nan,0.0972570007988154,0.003582251509469757,-0.0005233541444622822,nan,nan,nan,nan,nan,0.01693144474514941,0.01215868294640748,0.002156188105383691,nan,nan,nan,nan,nan
0.05,0.06733842848421444,7300,100.8140454179093,0.001704208,100,100,100,nan,nan,nan,nan,nan,0.06400796573324623,0.0104884864551919,-0.007158023704223674,nan,nan,nan,nan,nan,0.007153725150976767,0.006989423799956178,0.001726267900991598,nan,nan,nan,nan,nan
0.05,0.1101088136698917,7300,88.53917548038027,0.001821833,100,100,100,nan,nan,nan,nan,nan,0.09410294221404689,0.01821063337121485,-0.002204761915370015,nan,nan,nan,nan,nan,0.01942580165537562,0.005322427018532057,0.00151608177192432,nan,nan,nan,nan,nan
0.05,0.0796502166671782,7300,108.5276600396147,0.001709167,100,100,100,nan,nan,nan,nan,nan,0.08287058060829035,0.00526597817834277,-0.008486342119454926,nan,nan,nan,nan,nan,0.01354737041461526,0.008915191256815969,0.001858350343144088,nan,nan,nan,nan,nan
0.05,0.1122737739604604,7300,66.04964791931914,0.00170325,100,100,100,nan,nan,nan,nan,nan,0.09072716874064392,0.02130842993881099,0.0002381752810054739,nan,nan,nan,nan,nan,0.01223016696191167,0.006369846156791178,0.00113098712190615,nan,nan,nan,nan,nan
0.05,0.07754356097429231,7300,87.66086835608213,0.001726,100,100,100,nan,nan,nan,nan,nan,0.07132197301078612,0.00644816108755164,-0.0002265731240454527,nan,nan,nan,nan,nan,0.01117010273232322,0.008400847112710436,0.00150104226637127,nan,nan,nan,nan,nan
