run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.0005,26.497107041,2,2,3,100,0.08321143385471277,100323532,8962775.736659186,6,"3319396;861645;144608;23602;3910;666;118","0.08299649631518924;0.01098793431232493;-0.002736105663267875;-0.003614439582634324;-0.002425064789754225;-0.001147288867450446;-0.0008500978696945181","0.01376174819071689;0.007386003401338813;0.001678076566813601;0.0003503600829562554;7.672316293882516e-05;1.711528115408145e-05;3.739563231058129e-06"
1,0.0005,25.901764417,2,2,3,100,0.08354113470424226,99294779,9090709.860231312,6,"3311635;856245;144602;23429;4029;648;115","0.08302723885245443;0.01081509720482085;-0.002833179537310808;-0.003365221323778114;-0.002241564605894987;-0.001391621518000669;-0.0004696143680484271","0.01381145565768284;0.00737145123802504;0.001690492718502154;0.0003541061830137191;8.16477110017881e-05;1.776627671555851e-05;3.792941532442059e-06"
2,0.0005,28.525612334,2,2,3,100,0.08397621090526482,112031583,13553857.6079139,6,"3515671;906369;153057;24915;4121;687;150","0.08305980933470572;0.01107286339293311;-0.002850881946068157;-0.00345304656994537;-0.002234275193015266;-0.001229362791647118;-0.0003888953216981135","0.01380549276094574;0.007346769156196069;0.001675646344879908;0.0003541261428929699;7.760264918410523e-05;1.726607541969656e-05;5.655112772959441e-06"
3,0.0005,24.966774834,2,2,3,100,0.08364817239587782,98725280,9534357.191824764,6,"3296752;852326;143810;23546;3899;648;115","0.08302769421705808;0.01089589821143728;-0.002630684079869014;-0.003522638760402355;-0.002118662383553426;-0.0011013790992498;-0.0009020557095429202","0.01377578317162885;0.007391139757909508;0.001682256906144639;0.0003629483974743467;7.791518960833737e-05;1.739709717188115e-05;3.978045711942854e-06"
4,0.0005,26.318620708,2,2,3,100,0.08335638486428809,104026563,11493963.0224411,6,"3379027;873958;147621;24141;4013;699;124","0.08296883703975368;0.01087433091951931;-0.00268662537701842;-0.003261175246120314;-0.002272692280146537;-0.001463074893889414;-0.0008032152978102233","0.0137615615390054;0.007384321033689956;0.001680107806136867;0.0003606715180218159;7.953511826524333e-05;1.860153665168623e-05;4.795657367846169e-06"
5,0.0005,47.596494708,2,2,3,100,0.08315256900679413,184445478,15308787.90375493,7,"4494718;1158461;195331;31757;5225;870;143;26","0.08307493978522643;0.01108560968973482;-0.002780754809030896;-0.003440830513864723;-0.002064280572869917;-0.001246045900079203;-0.001010398995583669;-0.0004656696767387041","0.01383869941056682;0.007367078939674964;0.001675725816475786;0.0003532477476637067;7.615178754550233e-05;1.742571620228236e-05;3.743901470844277e-06;7.984155544162461e-07"
6,0.0005,24.65251325,2,2,3,100,0.08346193284381262,97947243,9321552.513430608,6,"3266139;844338;143322;22928;3889;655;113","0.08286666954410729;0.01101494511275277;-0.002717296063090449;-0.003329585671776371;-0.002202301136734178;-0.0013451522335874;-0.0008253467078590435","0.01376695252674904;0.007363863260842184;0.001690658321966765;0.0003499309988721498;8.05182492059447e-05;1.807041318898852e-05;3.889256638769351e-06"
7,0.0005,26.824858542,2,2,3,100,0.08372838146468427,106752868,12326892.14583033,6,"3420324;883424;148911;24108;4026;703;133","0.08295167055835118;0.01086474329206007;-0.002745800183971069;-0.003238198019445975;-0.002457059159909562;-0.001080178318632959;-0.0005667967037674391","0.01377601112797023;0.007352658953364631;0.001671052951336548;0.0003501351016303617;7.799181799935058e-05;1.818340509876498e-05;5.143182645217981e-06"
8,0.0005,25.358535041,2,2,3,100,0.08362958937255233,100745347,11164984.51921418,6,"3318355;857422;145295;23888;3863;664;120","0.08291364865570867;0.01098078264795494;-0.002719409971588302;-0.003411349265266591;-0.002144662738448326;-0.001109190872858427;-0.0008802290829496584","0.01375125861238168;0.007361190186756475;0.001686590333102885;0.0003619191071987952;7.628073206924886e-05;1.67499735146033e-05;4.658396774630157e-06"
9,0.0005,23.942812334,2,2,3,100,0.08420133520688253,95946161,9301575.53246499,6,"3243529;836261;141170;23147;3812;623;111","0.08299249210679874;0.0111093269905465;-0.002684555686591422;-0.003381397974374669;-0.002263361546306828;-0.00106291434139979;-0.0005082543417899995","0.01378322852138885;0.007332905557219545;0.00167026140040691;0.0003593475476132907;7.872627558814588e-05;1.667235890251916e-05;3.880921588815907e-06"
