run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.05,0.001739791,2,2,3,100,0.08935778747132166,7300,110.4778600681119,2,"100;100;100","0.0787816495820983;0.009043854197511355;0.001532283691712009","0.01371033920498389;0.005233608350091591;0.001891744179248491"
1,0.05,0.001651,2,2,3,100,0.0848294045776532,7300,90.96514311096729,2,"100;100;100","0.06774290290039869;0.0139034495906347;0.003183052086619817","0.009416797234634016;0.007213075971948892;0.001557622313543961"
2,0.05,0.001647917,2,2,3,100,0.1177526252302326,7300,56.43492598383213,2,"100;100;100","0.1039469397820467;0.01037528851322532;0.003430396934960634","0.01948032723209074;0.008863408212695035;0.0009663514723258928"
3,0.05,0.001663625,2,2,3,100,0.0699827694063571,7300,86.74037642858751,2,"100;100;100","0.06839690743995057;0.003130004542264012;-0.001544142575857489","0.01903468930256871;0.01045027491174804;0.001485280418297732"
4,0.05,0.001661833,2,2,3,100,0.1003158981638229,7300,125.9213853544075,2,"100;100;100","0.0972570007988154;0.003582251509469757;-0.0005233541444622822","0.01693144474514941;0.01215868294640748;0.002156188105383691"
5,0.05,0.001704208,2,2,3,100,0.06733842848421444,7300,100.8140454179093,2,"100;100;100","0.06400796573324623;0.0104884864551919;-0.007158023704223674","0.007153725150976767;0.006989423799956178;0.001726267900991598"
6,0.05,0.001821833,2,2,3,100,0.1101088136698917,7300,88.53917548038027,2,"100;100;100","0.09410294221404689;0.01821063337121485;-0.002204761915370015","0.01942580165537562;0.005322427018532057;0.00151608177192432"
7,0.05,0.001709167,2,2,3,100,0.0796502166671782,7300,108.5276600396147,2,"100;100;100","0.08287058060829035;0.00526597817834277;-0.008486342119454926","0.01354737041461526;0.008915191256815969;0.001858350343144088"
8,0.05,0.00170325,2,2,3,100,0.1122737739604604,7300,66.04964791931914,2,"100;100;100","0.09072716874064392;0.02130842993881099;0.0002381752810054739","0.01223016696191167;0.006369846156791178;0.00113098712190615"
9,0.05,0.001726,2,2,3,100,0.07754356097429231,7300,87.66086835608213,2,"100;100;100","0.07132197301078612;0.00644816108755164;-0.0002265731240454527","0.01117010273232322;0.008400847112710436;0.00150104226637127"
