run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.001,0.06431974999999999,2,4,3,100,0.07934975677773287,261371,19739.79202675879,3,"56667;7988;1136;133","0.05567487339226824;0.01694599935200842;0.005131598407729074;0.001597285625727145","0.006143229162208701;0.0009799462088935275;0.0001574087139291853;1.687161711688785e-05"
1,0.001,0.107555209,2,4,3,100,0.08175378934668612,427495,14859.0369849089,4,"70967;10358;1468;191;20","0.05482313282082267;0.01748157829507953;0.005943613259654794;0.002447424461377324;0.001058040509751788","0.005927506196927349;0.001008444608252805;0.000160496460671197;2.098427402514364e-05;1.587164813598472e-06"
2,0.001,0.130267334,2,4,3,100,0.08243726048826139,486661,28470.366898675,4,"76797;11217;1506;165;34","0.05530391512286768;0.01761723995968689;0.005954256678566961;0.002481924039451631;0.001079924687688219","0.00605205111357577;0.001050236156020601;0.0001484570365862457;1.393171313132115e-05;3.041056066938154e-06"
3,0.001,0.066660125,2,4,3,100,0.07953646452423808,260777,21424.24622300754,3,"56121;8222;1058;139","0.05505479789950685;0.01689122956834843;0.005720921964940251;0.001869515091442546","0.006034346657825646;0.0010360704551723;0.0001363259984414904;1.831132155812611e-05"
4,0.001,0.09938095800000001,2,4,3,100,0.08143732487823947,397345,12541.93395404382,4,"69081;9649;1363;184;17","0.05563561926631265;0.01690075282893974;0.00567408423442615;0.00207752338539142;0.001149345163169508","0.006092417394190625;0.0009503098862066002;0.000151358884820237;2.107262055431927e-05;1.33966395578336e-06"
5,0.001,0.062028958,2,4,3,100,0.08029300504921928,254362,18856.34026557075,3,"56482;7847;1079;129","0.05576846988774526;0.01672012007426434;0.00592605396786868;0.001878361119341011","0.00627386678455532;0.0009742354703163444;0.0001472362684765147;1.611653014151347e-05"
6,0.001,0.110811125,2,4,3,100,0.08204746755703665,437630,24996.73301144756,4,"73550;10230;1354;182;25","0.05566584725377265;0.01714777836751747;0.005729849130312888;0.002218785355965283;0.001285207449468342","0.006239632284209764;0.0009662398516937605;0.0001348819904712535;1.939596830964194e-05;2.67002061647592e-06"
7,0.001,0.0951275,2,4,3,100,0.08243798177706502,384038,11109.40999368364,4,"68726;9942;1380;160;16","0.05503750132893337;0.01692295626153739;0.006112993940988828;0.002741966175202361;0.001622564070403061","0.006171253811401077;0.001036296110760052;0.0001582576250812562;1.642741769359235e-05;1.186649219577402e-06"
8,0.001,0.062373667,2,4,3,100,0.07976363397841382,259736,19403.00864735242,3,"56416;8031;1133;130","0.05536562886602592;0.01677618482594243;0.005712642405315849;0.001909177881129619","0.006133527425977874;0.000993972882331038;0.0001577292595357825;1.658376807466019e-05"
9,0.001,0.111515125,2,4,3,100,0.08187128120623571,450707,21410.12335676788,4,"73515;10549;1455;190;25","0.05536276599257238;0.0170839792779938;0.005881092456398751;0.002324128247853828;0.001219315231416945","0.006055650755566386;0.001022238987937483;0.0001492004888650401;2.092670702434744e-05;2.286917683910262e-06"
