run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.01,0.001886916,2,4,3,100,0.07550693957974942,7617,194.8724552470119,2,"417;100;100","0.05486888732994443;0.01561604626272389;0.005022005987081104","0.005961979114781881;0.001160396938649539;0.0001334742844157616"
1,0.01,0.00185175,2,4,3,100,0.08615591542483143,7682,243.1453702986222,2,"482;100;100","0.05775791413514458;0.02235787942614288;0.006040121863543967","0.006298998204423564;0.001481254031913693;0.00016653792486207"
2,0.01,0.001918541,2,4,3,100,0.07193820209491358,7632,248.4445818863899,2,"432;100;100","0.05263148743501705;0.01316029053654059;0.006146424123355953","0.006135644108865836;0.0008240843520000979;0.0001701675218399931"
3,0.01,0.001963875,2,4,3,100,0.07247831581098081,7553,188.9631954774965,2,"353;100;100","0.04970971174274254;0.01547697189675539;0.007291632171482888","0.00485331075012427;0.00102764952713518;0.0001294268462174634"
4,0.01,0.001979209,2,4,3,100,0.0844278115023295,7770,272.1997110058161,2,"570;100;100","0.0613836696844785;0.01765522998153888;0.005388911836312132","0.006633832126392744;0.001143460076525418;0.0001864381582231617"
5,0.01,0.001869708,2,4,3,100,0.07190928841836126,7567,251.6538530745479,2,"367;100;100","0.0515016512091055;0.01541010611070719;0.004997531098548574","0.004499093077246182;0.001284554483609098;0.0001723656527907862"
6,0.01,0.001903542,2,4,3,100,0.07849813896340772,7857,138.2778616168765,2,"657;100;100","0.05862720818515883;0.01570296751075592;0.004167963267492983","0.0078843870869846;0.001196410654553182;9.471086412114827e-05"
7,0.01,0.002015542,2,4,3,100,0.07107413055506072,7510,208.1030820635607,2,"310;100;100","0.04495561750801031;0.01894375507284996;0.007174757974200451","0.003637780067856213;0.00124105697560886;0.0001425363575777813"
8,0.01,0.001980083,2,4,3,100,0.08017126131838241,7622,157.5172059058969,2,"422;100;100","0.06025603776537057;0.01428571786481531;0.005629505688196535","0.007217210804420765;0.0006886886667964394;0.0001078884971958198"
9,0.01,0.001865084,2,4,3,100,0.07744286689063004,7601,153.0962463626957,2,"401;100;100","0.05287219082244621;0.01882052172208632;0.0057501543460975","0.005958018360945692;0.0007546566837218697;0.0001048604427141751"
