run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.0005,12.601505292,2,2,3,100,0.0839623307049272,99119251,7555530.890548598,6,"3300395;854597;143241;23096;3767;668;117","0.08297800657385224;0.01110259461096253;-0.002635503002575423;-0.003282609111447875;-0.002460512218595088;-0.001201522744449034;-0.0005381234028201384","0.01378227819094342;0.007397504824934574;0.001670992185214005;0.000346521740667952;7.693155231350773e-05;1.972918307282909e-05;3.152414646932922e-06"
1,0.0005,12.653108708,2,2,3,100,0.08310854492010677,99510720,10021590.1698284,6,"3307136;855096;145422;23455;3813;664;117","0.08297149906277253;0.01075973142746743;-0.00300639312185222;-0.003373177919708923;-0.002342738958550841;-0.001336879827480504;-0.0005634957425406915","0.01378224542876823;0.007391836965758661;0.001695004505317562;0.0003546400151390693;7.404348374162261e-05;1.839588067640532e-05;4.181335248916195e-06"
2,0.0005,12.50291025,2,2,3,100,0.08391595033675454,98515235,10890488.56067291,6,"3293715;852746;143427;23279;3903;630;117","0.08297646830786154;0.01103368115853815;-0.002713688301505944;-0.003349502529534527;-0.002361406075848636;-0.001317492784314566;-0.0003521094384414595","0.01377390487487764;0.007383749893386558;0.001671026328104787;0.0003522206425132096;7.915481654493851e-05;1.647831308636743e-05;4.543868081310692e-06"
3,0.0005,13.116683166,2,2,3,100,0.08389039235711447,103372133,11836695.47359103,6,"3372589;870927;146899;23845;3949;678;126","0.08295589306150078;0.01101763554676602;-0.002687458938058845;-0.003319804001448513;-0.002219122223279567;-0.001144847198453999;-0.0007119038899114065","0.01379447629334136;0.007358629941320997;0.001675595753302688;0.0003536529894857427;7.732800423163646e-05;1.79936578132907e-05;4.938656558060029e-06"
4,0.0005,14.183933917,2,2,3,100,0.08370104430548068,110505752,13329320.85714864,6,"3484864;902651;152426;24564;4145;662;148","0.08288952748071512;0.01094305925818449;-0.002834819882778764;-0.003408050005095748;-0.002237570430310098;-0.001309798670174141;-0.0003413034450601758","0.01375365467944419;0.007383325856686199;0.00168242152566201;0.0003516113135022881;7.896419010733711e-05;1.645368844638448e-05;5.561428695408704e-06"
5,0.0005,13.456169,2,2,3,100,0.08325469301057639,105538789,11235841.4505068,6,"3402421;883246;148859;24125;4037;713;127","0.08301137165748881;0.01094528640476745;-0.002899827309439625;-0.003526494187878359;-0.002360882304677929;-0.00112998012669557;-0.0007847811229883805","0.01375532899182677;0.00739414275841988;0.00167977149932787;0.0003540218569759061;7.900104588791421e-05;1.982468967387364e-05;4.687960604264287e-06"
6,0.0005,11.376369042,2,2,3,100,0.08365369135588313,88870058,7593803.50524701,6,"3118354;803987;136012;21720;3485;580;100","0.08297677886369287;0.01091801576653025;-0.002810769196901102;-0.003447755627640917;-0.002004840223234593;-0.001375519255190369;-0.000602218971373012","0.01379437776345044;0.007361145001506986;0.001677314497103085;0.0003449050303437753;7.152515713936553e-05;1.581349904430395e-05;3.168383233773407e-06"
7,0.0005,6.087215958,2,2,3,100,0.08401150878752429,48443050,5575321.758237241,5,"2303306;597420;101072;16252;2687;475","0.08289760101167759;0.01085651429271934;-0.00280062617770778;-0.00357503885381851;-0.002417593652692755;-0.0009493478326535995","0.01371678073034589;0.007390524243154711;0.001698866822218337;0.0003508339283415954;7.416093412811416e-05;1.860971507329048e-05"
8,0.0005,12.72117325,2,2,3,100,0.08377995854876508,100361964,8677628.235148219,6,"3317676;859520;145149;23526;3829;670;119","0.08294001583864678;0.01096070920491823;-0.002537976386952969;-0.003489499617847649;-0.002181471045655384;-0.00123142445909067;-0.0006803949852532711","0.01372593494672006;0.007363589011997044;0.001667372000291737;0.0003548126565061274;7.483183664026464e-05;1.877875786562433e-05;3.620590365574387e-06"
9,0.0005,13.212148625,2,2,3,100,0.08314885097925212,104227085,7771194.90217372,6,"3388837;876197;147625;24254;4033;700;124","0.08302878953243771;0.01103592688475552;-0.0028151252529224;-0.003513643481805613;-0.002277584273936008;-0.001436558250209158;-0.0008729541790679413","0.01379500094973253;0.007382017645356657;0.001674656297406503;0.0003597034361907553;7.912784075665522e-05;1.774642885901018e-05;3.242396727465979e-06"
