run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.05,0.0008286670000000001,2,2,3,100,0.07242855289346353,7300,173.989643668915,2,"100;100;100","0.08151090260204324;-0.002301125512951054;-0.006781224195628657","0.01094556146107905;0.007310794002689859;0.002979274720358134"
1,0.05,0.000827708,2,2,3,100,0.1010081606345849,7300,105.0574977974676,2,"100;100;100","0.08399203049939129;0.02185241244937251;-0.004836282314178925","0.01418234924122577;0.004572760252001542;0.001798929756805952"
2,0.05,0.000818875,2,2,3,100,0.09123996120816964,7300,112.2915673557997,2,"100;100;100","0.08830188184583383;0.01097485147606781;-0.008036772113732008","0.01397134190227738;0.006433580073688257;0.001922800810886982"
3,0.05,0.000817625,2,2,3,100,0.1024624071216643,7300,85.5213696295358,2,"100;100;100","0.08688548477580832;0.01593803796994237;-0.0003611156240864024","0.01593674270783758;0.007799832311377868;0.00146440701420438"
4,0.05,0.000874458,2,2,3,100,0.08823746727649498,7300,87.68095316374881,2,"100;100;100","0.08738476223558481;-0.0001567915207405364;0.001009496561650717","0.01106708534671433;0.007952248381108787;0.001501386184310768"
5,0.05,0.0008678340000000001,2,2,3,100,0.08329771437173424,7300,101.5898477420066,2,"100;100;100","0.08496149769679656;0.004028112569146426;-0.005691895894208745","0.01585234694911154;0.006922278482990472;0.001739552187363127"
6,0.05,0.000862292,2,2,3,100,0.04082042430609217,7300,120.2646127543982,2,"100;100;100","0.05853710722497529;-0.004139072071410997;-0.01357761084747212","0.005526046323317321;0.01020965014544817;0.002059325560862983"
7,0.05,0.000853125,2,2,3,100,0.06521514004605372,7300,74.69569878381644,2,"100;100;100","0.05716497314701506;0.0133431332262519;-0.005292966327213234","0.006659820095849324;0.00645739518885965;0.001279035938079049"
8,0.05,0.000814208,2,2,3,100,0.107581971909194,7300,133.0196692894076,2,"100;100;100","0.09261957935100291;0.01711263142719688;-0.002150238869005807","0.02028778083100225;0.003768790952956176;0.002277734063174788"
9,0.05,0.000822708,2,2,3,100,0.08660729517861861,7300,88.08228860224766,2,"100;100;100","0.0753398607872954;0.006628098280070539;0.004639336111252669","0.009757051617631478;0.008713092222746438;0.001508258366476844"
