run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.01,0.039505667,1,2,3,100,0.1027119785123801,163055,21507.83044299225,4,"13375;3350;456;71;14","0.1677763977160179;-0.05163076415852386;-0.01023215011662387;-0.0009973116947968052;-0.002204193233693255","0.05623083079058658;0.0276569949185164;0.004088604841934516;0.0007500518858515493;0.0002297354245139099"
1,0.01,0.042150333,1,2,3,100,0.1045571084639423,173311,10114.51183017697,4,"13335;3429;455;82;15","0.1628316815767749;-0.05081409786824734;-0.008639704950528501;-0.0006160575895418427;0.001795287295485139","0.05155270653213655;0.02703411047294732;0.003895369313781392;0.001024877703128927;0.0001080379387970196"
2,0.01,0.041673167,1,2,3,100,0.1086764925225532,169587,18779.53915884527,4,"13739;3409;489;78;14","0.1677083752924939;-0.05263579293159036;-0.01593154425054381;0.002714806126881155;0.006820648285312265","0.05577721505639988;0.02879898852483339;0.004795558916531641;0.0008128997447514097;0.0002005932403209279"
3,0.01,0.025979333,1,2,3,100,0.1134907651496999,109710,684.9519503001395,4,"11014;2553;327;48;8","0.1669137605269794;-0.05020704911374699;-0.006734689189412731;0.004517064162664431;-0.0009983212367841454","0.0550816689991321;0.02548916089913039;0.003086780404214355;0.0004820702760973196;7.316299405043148e-06"
4,0.01,0.037702583,1,2,3,100,0.1028849628396134,142486,2966.699327825595,4,"12342;3012;377;64;12","0.1701380614381657;-0.04933498529293615;-0.01316928944147662;-0.005809560709401895;0.001060736845262326","0.05669312893148592;0.02667630058690116;0.004105052340393768;0.0008491900472352581;3.168873454203797e-05"
5,0.01,0.039654875,1,2,3,100,0.1127939209922999,159556,19889.54352718645,4,"13036;3355;462;64;14","0.1653248055697521;-0.04746558057046778;-0.004004120392901629;-0.0009727556716586955;-8.842794242412072e-05","0.05364961909470642;0.02814317600555137;0.004195217586892553;0.0006258593246302293;0.0002124497279126944"
6,0.01,0.07626387499999999,1,2,3,100,0.096829585257329,293562,526.7347339103846,5,"17130;4474;560;88;15;3","0.1629410523826714;-0.05385039411626;-0.01151873323251171;-0.003085413017852104;0.004188401391329522;-0.001845328150048074","0.05227443621159571;0.03098717635690334;0.003729182591176911;0.0006471835783787136;0.0001721409254582633;7.032694249651322e-07"
7,0.01,0.032495458,1,2,3,100,0.09978754483197588,130810,13613.87350170047,4,"11274;2918;383;60;10","0.1601778757461652;-0.05389313248230328;-0.007317414109494065;0.0001742871874926474;0.0006459284901154015","0.04971823804964694;0.02663500983550016;0.003670857943022431;0.0006729356687620165;0.0001454162946133356"
8,0.01,0.04289125,1,2,3,100,0.1151936506351379,171317,28373.98186089285,4,"13653;3356;420;67;17","0.1706513036723561;-0.05333565264108261;-0.007728234368037358;-0.0003746346611247228;0.005980868633026389","0.05572139643874075;0.02721504567838296;0.003144612209300637;0.0006673654099498189;0.0003030760720027009"
9,0.01,0.043674167,1,2,3,100,0.1040929963839311,174826,5876.648862168024,4,"13882;3150;417;85;16","0.1666213124296779;-0.0461344406987001;-0.01363604772934311;-0.004529373432999736;0.001771545815296124","0.05612144132936058;0.02311929965708526;0.003860932255387795;0.0009208260514507537;6.277129739551404e-05"
