run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.001,0.131298667,1,3,3,100,0.101241622777569,530409,751.7401486768996,4,"166681;16210;1433;166;14","0.1111633296102401;-0.006911099705525034;-0.002218439910147814;-0.000633556786824051;-0.0001586104301742326","0.02476082109756368;0.002146435274658427;0.0001272152272567822;6.215871452781457e-06;8.029696097809225e-08"
1,0.001,0.136433375,1,3,3,100,0.1004787853877225,538858,6384.610801423071,4,"161666;16821;1487;152;17","0.1111462939280139;-0.007667432739681241;-0.001872310358634678;-0.000762609717159577;-0.0003651557248158453","0.02472480705035529;0.002152115266616694;0.0001110687836752949;8.469216605881641e-06;6.819708183532441e-07"
2,0.001,0.129550542,1,3,3,100,0.1000925468782549,535066,1596.507109072904,4,"195146;16114;1425;138;12","0.1102579688327459;-0.007612638873066121;-0.002024722281477364;-0.0005871841170676694;5.912331712019305e-05","0.02441107920516638;0.002206104907683557;0.0001025322245817233;4.676499672340538e-06;1.70530560678584e-07"
3,0.001,0.123448541,1,3,3,100,0.1001135902190486,509498,3007.693733606894,4,"152378;16176;1430;162;13","0.1107281151608168;-0.008028417156808191;-0.001818565626182433;-0.0004848321470966526;-0.0002827100116809622","0.02451644262430203;0.002208911824883362;0.0001189760509561277;5.113934084813722e-06;3.212661539849278e-07"
4,0.001,0.126749708,1,3,3,100,0.1005587785372633,526073,501.3510095555541,4,"161593;16752;1481;137;16","0.1106509232975371;-0.007295747729761135;-0.002266402787144552;-0.0005923648243808741;6.237058101281359e-05","0.02451700471168906;0.002185910290126184;0.0001207745135381947;7.860277920811056e-06;5.355169937572678e-08"
5,0.001,0.123650542,1,3,3,100,0.09963792293727251,511292,4374.317958299043,4,"153644;15914;1407;162;14","0.1105549841811323;-0.007612056905622171;-0.002407613168028104;-0.0006194020173366673;-0.000277989152872808","0.02452137592289661;0.002119804470893001;0.0001274363070532344;6.098634522686081e-06;4.672418242148092e-07"
6,0.001,0.126006792,1,3,3,100,0.1008907993303393,510615,666.2803862195772,4,"154871;16372;1448;154;13","0.1112959351644883;-0.007294820976061577;-0.002405786850623913;-0.0005959131416570702;-0.00010861486580641","0.02473623560772783;0.002199791462629454;0.0001098557359090335;5.586135268308523e-06;7.116859498179633e-08"
7,0.001,0.136839541,1,3,3,100,0.100516158126302,536957,1657.772829026078,4,"158877;16396;1450;173;16","0.1107246036521807;-0.007522663681610308;-0.002055269590695752;-0.0004801845697829612;-0.00015032768378964","0.02452151062571155;0.002082376500103944;0.0001263471110764059;8.017687489471767e-06;1.770746452708906e-07"
8,0.001,0.1243795,1,3,3,100,0.09960269249178021,511744,4079.905907508939,4,"154552;16553;1464;144;14","0.1101479779096374;-0.007832355663002376;-0.002034029793173748;-0.0006481936409988275;-3.070632068225141e-05","0.02422229752419984;0.002205726209111246;0.0001030169411580667;6.362300874830375e-06;4.357942648482097e-07"
9,0.001,0.122135,1,3,3,100,0.1010765445622702,503031,4609.232202071234,4,"154343;16234;1435;144;13","0.1107661256175408;-0.007478435381771693;-0.001746497356256494;-0.000511992504961885;4.734418771952033e-05","0.02453973717307294;0.002165199051931247;0.0001040821597789532;5.127719905745688e-06;4.923341382259383e-07"
