run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.01,0.00260675,1,3,3,100,0.09516734024858396,10453,10.00299471199373,3,"1661;171;100;2","0.1124594666324787;-0.013995326497325;-0.00226696132098825;-0.001029838565581476","0.02776615913529051;0.002626795147993075;0.0001220813777296736;8.54956812990917e-07"
1,0.01,0.002587667,1,3,3,100,0.0926359340550976,10391,5.25090562164637,3,"1591;172;100;2","0.1129345425157752;-0.0166961744342744;-0.003649798063292365;4.736403688912981e-05","0.02566697496178764;0.002374726263638909;0.0001344583940488456;4.487953522774676e-07"
2,0.01,0.002466,1,3,3,100,0.09558563440627052,9899,4.454521785010115,3,"1379;137;100;2","0.1076860002215907;-0.007388966885018041;-0.002870588441050031;-0.001840810489252123","0.02360731855111886;0.001797867339485968;9.672741124438644e-05;3.807283576931723e-07"
3,0.01,0.002961,1,3,3,100,0.0989081620398778,10196,23.90881276889779,3,"1612;145;100;2","0.1138828421203757;-0.006009309863000394;-0.003171012203052906;-0.005794358014444612","0.02794874650388282;0.001658488418824722;0.0001464455852872713;2.043488270845965e-06"
4,0.01,0.002799042,1,3,3,100,0.1029782999100222,9858,28.69991892454371,3,"1378;132;100;2","0.1133079362606889;-0.008304610934982987;-0.0003665662264917826;-0.001658459189191933","0.02511474380150176;0.001867820978331376;0.0001143498754014646;2.452984523465274e-06"
5,0.01,0.002655917,1,3,3,100,0.09929489231405406,10057,0.4859354695717168,3,"1481;144;100;2","0.1112729414313671;-0.009884961016237573;-0.001832750461643273;-0.0002603376394322125","0.02563654039100853;0.002454135152578587;9.054204853177021e-05;4.153294611724076e-08"
6,0.01,0.002789625,1,3,3,100,0.0918896228742985,10713,53.29819764683862,3,"1497;160;100;3","0.1063032843006144;-0.01026593116361936;-0.003561338190592822;-0.0005863920721037204","0.02210169021343554;0.002099207095340328;0.0001804257674671009;4.555401508276805e-06"
7,0.01,0.002530041,1,3,3,100,0.09972125369277431,9739,14.3777678442179,3,"1251;133;100;2","0.1035034063617956;-0.001277026874436073;-0.003438709353652912;0.0009335835590677279","0.01973222786854542;0.001651393432326247;0.0001244960392999938;1.228869046514351e-06"
8,0.01,0.002440583,1,3,3,100,0.1022898225600081,9765,0.6912087170186206,3,"1325;127;100;2","0.1122535021710081;-0.009125514892709331;-0.001031594683238481;0.0001934299649478236","0.02450986223268707;0.001836233367635732;8.272792704872076e-05;5.907766812124963e-08"
9,0.01,0.00264475,1,3,3,100,0.1098997400543674,10564,32.47700421997153,3,"1548;135;100;3","0.1167228724975103;-0.006249217184953398;-0.000950133665414517;0.0003762184072250406","0.02724152484982101;0.001507793514993835;0.0001802513722148361;2.775812326493294e-06"
