run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.05,0.001879875,1,3,3,100,0.1065753521152528,7300,4.120442104972898,2,"100;100;100","0.1111638283879082;-0.003180810779247514;-0.00140766549340786","0.02303642501442905;0.001481547476504885;7.055551549611127e-05"
1,0.05,0.001918125,1,3,3,100,0.08943097032015063,7300,8.584305174143136,2,"100;100;100","0.09951712211408935;-0.007339971684902602;-0.00274618010903612","0.02036419518446406;0.002134539579647155;0.0001469915269545058"
2,0.05,0.0019605,1,3,3,100,0.1158599326030141,7300,12.99639357239701,2,"100;100;100","0.1248578763104073;-0.006795190582460029;-0.002202753124933208","0.03975460173227954;0.003502410876644198;0.000222540985828716"
3,0.05,0.001792917,1,3,3,100,0.09632046681922907,7300,3.584293634096629,2,"100;100;100","0.1096757781307519;-0.01329455196862629;-6.075934289651773e-05","0.02367359769488651;0.003360506074128682;6.137489099480531e-05"
4,0.05,0.001784833,1,3,3,100,0.1069700532179196,7300,6.759681978714538,2,"100;100;100","0.1137195146207104;-0.006274577760627906;-0.0004748836421629281","0.02489194604727784;0.003325425038413333;0.0001157479790875777"
5,0.05,0.00187925,1,3,3,100,0.09424601636364564,7300,7.879257092358618,2,"100;100;100","0.1076784474960738;-0.01017148440202519;-0.003260946730402951","0.03005944284593131;0.002250402758419291;0.0001349187858280586"
6,0.05,0.0018435,1,3,3,100,0.1059681190654192,7300,5.838592827614383,2,"100;100;100","0.1224848260014436;-0.0154961520974643;-0.001020554838560088","0.02635087847085352;0.002814710114220904;9.997590458243808e-05"
7,0.05,0.001848,1,3,3,100,0.1013635231625634,7366,4.77184097512388,2,"166;100;100","0.123731001908147;-0.02086969011344827;-0.001497788632135365","0.08446697190739068;0.003999947309506873;8.170960573842262e-05"
8,0.05,0.001859,1,3,3,100,0.1169476050401004,7300,9.079470489885727,2,"100;100;100","0.12133871130492;-0.003989658115649919;-0.0004014481491696783","0.03237106404875179;0.001195349622744995;0.000155470385100783"
9,0.05,0.001872458,1,3,3,100,0.1077652357062562,7300,7.046072223558015,2,"100;100;100","0.1099997979237519;-0.00127891647340654;-0.0009556457440891708","0.02532840438647889;0.002166203034057283;0.0001206519216362674"
