run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.0005,38.095826042,1,2,3,100,0.1007154853958109,295904673,38912441.76338078,6,"11421609;2862671;377694;61370;10450;1916;383","0.1660065892019391;-0.05164192447862147;-0.01056943604075124;-0.002379293602901471;-0.0004669394884144433;0.0001132477290675542;-0.0003467579245070999","0.05518253991173566;0.02772980462176334;0.003860599239952733;0.0008156077657792718;0.0001891693101924698;5.040388278478655e-05;1.623554362225619e-05"
1,0.0005,36.199612334,1,2,3,100,0.1004334781366019,273503852,27256379.09109003,6,"10975612;2751510;363409;59612;10222;1829;324","0.1659042030441288;-0.05161272100774873;-0.0104872532172162;-0.002492041707860273;-0.0008360902069717817;-9.805905409878604e-05;5.544028636884745e-05","0.05504005530288812;0.02766683966335158;0.00385156938159586;0.0008292043103617328;0.0001946679358096561;5.140217967504707e-05;1.137225297782743e-05"
2,0.0005,37.016853667,1,2,3,100,0.100607585045106,287019052,33626757.14059696,6,"11237836;2821228;370900;60807;10575;1835;362","0.1659870088629258;-0.05171409072531843;-0.01031872003873328;-0.002528102680985488;-0.000662851212253143;4.569040770979523e-05;-0.0002013495682392511","0.05503564859848129;0.02774810532633115;0.003836392331271029;0.0008227594627000076;0.0001995741912844398;4.884515160721289e-05;1.403018309030792e-05"
3,0.0005,37.493633333,1,2,3,100,0.1006893392939559,289387167,30005009.86602964,6,"11293903;2829186;373535;61277;10432;1989;352","0.1660502648174104;-0.05173198512400517;-0.01048231675521295;-0.002844634330606257;-0.0002860010098838006;-8.416929850948274e-05;6.818099476316223e-05","0.05509633244208491;0.02769736398343308;0.003856618530439565;0.0008323931908197585;0.0001958325157106794;5.141412388614916e-05;1.251907165138606e-05"
4,0.0005,35.598063834,1,2,3,100,0.100024128695337,278022138,29334733.24346845,6,"11043282;2764453;366156;59599;10402;1910;327","0.166022247059532;-0.0515162430043911;-0.01067602953157086;-0.002555224820682475;-0.0008607704526417144;-0.0004586870790822254;6.883652417335709e-05","0.05512753561089018;0.02763767314965675;0.003878712066768424;0.0008217721589837507;0.0002002697716131867;5.379543992174179e-05;1.223941031811009e-05"
5,0.0005,36.837104583,1,2,3,100,0.1009277044568333,280864980,32407599.6019227,6,"11104820;2781308;368363;59316;10409;1846;345","0.1659969237841937;-0.05144915444736374;-0.01052668418570952;-0.002354018036462286;-0.0005030485048284928;-0.0003078947222709389;7.158056927463522e-05","0.05507325370354209;0.02763879798565607;0.003878886623169116;0.0008034188041059873;0.0001982680176763697;4.861023865213982e-05;1.352151068362858e-05"
6,0.0005,37.829744292,1,2,3,100,0.1010646075305135,291703887,36168637.98439355,6,"11348375;2844263;374302;61260;10721;1849;373","0.1661486948995102;-0.05166626690068828;-0.01050549535138153;-0.002451103987398349;-0.000613848952937609;-0.000144782313025087;0.0002974101364341645","0.05522570650930219;0.02774834937017132;0.003839574459441142;0.0008241133419727097;0.0002012783246851803;4.815228342173316e-05;1.509073892931141e-05"
7,0.0005,33.247180125,1,2,3,100,0.1003583888390284,259935942,20638068.53471322,6,"10713454;2688771;354989;57769;10066;1695;300","0.1660798973316509;-0.05186330807757366;-0.01057235737897383;-0.002494924873873988;-0.0004993720299339705;-0.0001538744309561838;-0.0001376717013108853","0.05514082749391874;0.02780528955707059;0.003874037609677619;0.00081464452177989;0.0001930557770940294;4.385781296620228e-05;8.610877313018501e-06"
8,0.0005,37.874345958,1,2,3,100,0.1007549955504148,294347524,35067602.96193273,6,"11382972;2850465;375533;61153;10692;1954;370","0.1659698368923215;-0.05165497943388123;-0.01043015135030825;-0.002543906629593315;-0.0005881129086304027;-0.0002621408097248123;0.0002644497902313244","0.05508392309169511;0.02762622206729358;0.0038350900502701;0.0008147971123868351;0.0001983809935403025;5.257794418233126e-05;1.463135110046494e-05"
9,0.0005,78.82774083299999,1,2,3,100,0.1011181940204795,603615875,46428454.74493661,7,"16313619;4079510;539171;88848;14814;2698;514;91","0.1660624462732345;-0.05147205258030515;-0.01053786710127949;-0.002440918772419354;-0.0005725689631896827;8.28925222391947e-05;-0.000241027605524469;0.0002372902477239489","0.05516206863419668;0.02763673266350612;0.003854771478243159;0.0008288004023674496;0.0001935722215413925;5.004151377663311e-05;1.428130253425979e-05;2.421432752803104e-06"
