run_index,eps,wall_time_s,alpha,beta,gamma,N0,mlmc_estimate,mlmc_cost,std_mc_cost,L_used,Nl_list,Yl_list,Vl_list
0,0.005,0.070051583,1,2,3,100,0.1029715676924521,579909,35122.73742655427,4,"51197;12977;1623;259;46","0.1668098233706783;-0.05264376018983821;-0.01033917088639192;-0.0008352941251553174;-2.003047684082104e-05","0.05652986518763584;0.02825687306484781;0.003424465359776105;0.0008515585127454781;9.379068956033504e-05"
1,0.005,0.08411716700000001,1,2,3,100,0.1060234242860925,694627,86261.15115124798,4,"55691;13699;1799;345;58","0.16724682416864;-0.05149236907543547;-0.009578092856336923;-3.769422686770155e-05;-0.0001152437239074047","0.05645962118261861;0.02726836031610624;0.003745914330947472;0.001027227298131607;0.0002303491538967314"
2,0.005,0.070399875,1,2,3,100,0.1010108072516199,584814,78117.42114103358,4,"50390;12883;1628;239;50","0.1655101162654716;-0.05115844671247668;-0.009049710047706943;-0.001506019568587837;-0.002785132685080298","0.05447492391282872;0.0284720524831328;0.00363037999467858;0.0006309771135171716;0.000208602385016646"
3,0.005,0.070775084,1,2,3,100,0.0956918412363659,590961,61389.80392044825,4,"51153;13052;1691;263;47","0.1658625072978539;-0.05132637148340676;-0.01199540592697921;-0.003627767723053839;-0.003221120928048197","0.05544155370260841;0.02835858742688469;0.003817115232078478;0.0006968634621892026;0.0001639334648591333"
4,0.005,0.077399541,1,2,3,100,0.09938399375588645,640246,86494.03651355936,4,"53630;13191;1837;270;55","0.1672731415155124;-0.05230703079266465;-0.0120471651293593;-0.002183206596303281;-0.00135174524129874","0.05628702956807047;0.02723370227431645;0.004248737629583814;0.0007223736927256113;0.000230971043883677"
5,0.005,0.090283667,1,2,3,100,0.1030700231390802,739861,121834.9117376106,4,"57677;14377;1798;315;71","0.1667175059449946;-0.05216509630102144;-0.01084625205199569;-0.001395130957282916;0.0007589965043856318","0.05610284070564541;0.02802712371494701;0.003307787254476609;0.0008591266300514284;0.0003253442419825108"
6,0.005,0.067723166,1,2,3,100,0.1039906374960986,559273,37693.20662095438,4,"49529;12438;1634;245;44","0.1668139775255217;-0.05044149682647201;-0.01013094553718619;-0.001070836475883041;-0.001180061189881903","0.05613054387663301;0.02855548568507073;0.003823098171874661;0.0006798053144532122;0.0001006547923012027"
7,0.005,0.06652116600000001,1,2,3,100,0.1034623373524049,537544,57009.1117765135,4,"49240;11950;1624;236;41","0.1671280645784042;-0.0531767538550512;-0.007507861594258826;-0.003161090090854833;0.0001799783141654952","0.05694862301784945;0.02679423986002413;0.003953986079865601;0.0006647920256819594;0.0001522353978223497"
8,0.005,0.08120266700000001,1,2,3,100,0.1018169919190254,594033,71908.48601254268,4,"51033;12379;1721;260;49","0.1656107637486578;-0.05138037063419727;-0.009733114610434863;-0.001881178510389085;-0.0007991080746111755","0.05536931903541805;0.02599821056212987;0.004054630456724551;0.0007281257475985214;0.0001920222335306096"
9,0.005,0.093451625,1,2,3,100,0.1079815791804146,693597,90417.6044791207,4,"56077;13962;1800;330;59","0.1677888333380924;-0.0521340602861725;-0.007713391599244907;-0.001193494782765322;0.001233692510504912","0.05613581413657305;0.02773021486460848;0.003473902366706038;0.0009117532281724517;0.0002414484204206384"
