eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Nl_7,Nl_8,Nl_9,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Yl_7,Yl_8,Yl_9,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6,Vl_7,Vl_8,Vl_9
0.01,0.08506950663272402,24697,3322.105994055828,0.00175725,2713,692,105,19,nan,nan,nan,nan,nan,nan,0.08398420414213199,0.008707301066463403,-0.003814476134496314,-0.00380752244137507,nan,nan,nan,nan,nan,nan,0.01542666435593339,0.007472232495627968,0.001470785343361975,0.0002839406832526349,nan,nan,nan,nan,nan,nan
0.01,0.08506950663272402,24697,3322.105994055828,0.001428,2713,692,105,19,nan,nan,nan,nan,nan,nan,0.08398420414213199,0.008707301066463403,-0.003814476134496314,-0.00380752244137507,nan,nan,nan,nan,nan,nan,0.01542666435593339,0.007472232495627968,0.001470785343361975,0.0002839406832526349,nan,nan,nan,nan,nan,nan
0.01,0.08506950663272402,24697,3322.105994055828,0.001824375,2713,692,105,19,nan,nan,nan,nan,nan,nan,0.08398420414213199,0.008707301066463403,-0.003814476134496314,-0.00380752244137507,nan,nan,nan,nan,nan,nan,0.01542666435593339,0.007472232495627968,0.001470785343361975,0.0002839406832526349,nan,nan,nan,nan,nan,nan
0.01,0.08506950663272402,24697,3322.105994055828,0.002208541,2713,692,105,19,nan,nan,nan,nan,nan,nan,0.08398420414213199,0.008707301066463403,-0.003814476134496314,-0.00380752244137507,nan,nan,nan,nan,nan,nan,0.01542666435593339,0.007472232495627968,0.001470785343361975,0.0002839406832526349,nan,nan,nan,nan,nan,nan
0.01,0.08506950663272402,24697,3322.105994055828,0.001745917,2713,692,105,19,nan,nan,nan,nan,nan,nan,0.08398420414213199,0.008707301066463403,-0.003814476134496314,-0.00380752244137507,nan,nan,nan,nan,nan,nan,0.01542666435593339,0.007472232495627968,0.001470785343361975,0.0002839406832526349,nan,nan,nan,nan,nan,nan
0.001,0.08328044096898496,37510076,2904214.447257777,1.298181375,1009908,256777,43322,7326,1097,187,26,5,nan,nan,0.08325963733513887,0.01148041048312023,-0.003094626824393298,-0.003796233130870424,-0.002579115674644783,-0.0009474656865253122,-0.0009668397454075071,-7.532578743283321e-05,nan,nan,0.01391938333892631,0.007202037866781681,0.001641139282433742,0.0003724700364694775,6.593581969656506e-05,1.542094597104488e-05,2.412239394199863e-06,6.058663827937008e-07,nan,nan
0.001,0.08328044096898496,37510076,2904214.447257777,1.174129958,1009908,256777,43322,7326,1097,187,26,5,nan,nan,0.08325963733513887,0.01148041048312023,-0.003094626824393298,-0.003796233130870424,-0.002579115674644783,-0.0009474656865253122,-0.0009668397454075071,-7.532578743283321e-05,nan,nan,0.01391938333892631,0.007202037866781681,0.001641139282433742,0.0003724700364694775,6.593581969656506e-05,1.542094597104488e-05,2.412239394199863e-06,6.058663827937008e-07,nan,nan
0.001,0.08328044096898496,37510076,2904214.447257777,1.187600667,1009908,256777,43322,7326,1097,187,26,5,nan,nan,0.08325963733513887,0.01148041048312023,-0.003094626824393298,-0.003796233130870424,-0.002579115674644783,-0.0009474656865253122,-0.0009668397454075071,-7.532578743283321e-05,nan,nan,0.01391938333892631,0.007202037866781681,0.001641139282433742,0.0003724700364694775,6.593581969656506e-05,1.542094597104488e-05,2.412239394199863e-06,6.058663827937008e-07,nan,nan
0.001,0.08328044096898496,37510076,2904214.447257777,1.175585709,1009908,256777,43322,7326,1097,187,26,5,nan,nan,0.08325963733513887,0.01148041048312023,-0.003094626824393298,-0.003796233130870424,-0.002579115674644783,-0.0009474656865253122,-0.0009668397454075071,-7.532578743283321e-05,nan,nan,0.01391938333892631,0.007202037866781681,0.001641139282433742,0.0003724700364694775,6.593581969656506e-05,1.542094597104488e-05,2.412239394199863e-06,6.058663827937008e-07,nan,nan
0.001,0.08328044096898496,37510076,2904214.447257777,1.160050084,1009908,256777,43322,7326,1097,187,26,5,nan,nan,0.08325963733513887,0.01148041048312023,-0.003094626824393298,-0.003796233130870424,-0.002579115674644783,-0.0009474656865253122,-0.0009668397454075071,-7.532578743283321e-05,nan,nan,0.01391938333892631,0.007202037866781681,0.001641139282433742,0.0003724700364694775,6.593581969656506e-05,1.542094597104488e-05,2.412239394199863e-06,6.058663827937008e-07,nan,nan
