eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Nl_7,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Yl_7,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6,Vl_7
0.01,0.102498762263014,167650,22432.48258108067,0.03952425,13402,3401,497,66,15,nan,nan,nan,0.16603573245244,-0.05322114275569852,-0.01090651610441947,0.00136638773030596,-0.0007756990596140071,nan,nan,nan,0.05394876262015644,0.02745526482944419,0.004482962324465198,0.0005885781844504638,0.0002396120762772983,nan,nan,nan
0.01,0.1095347682195427,130020,13597.83096171537,0.030031584,11572,2846,423,54,10,nan,nan,nan,0.1633069644954079,-0.04441775464572378,-0.01240942618189376,0.001496453890190456,0.001558530661561813,nan,nan,nan,0.05254167774604197,0.02543076055871054,0.004480706195368063,0.0005577512224098379,0.0001452449365703415,nan,nan,nan
0.01,0.09223101072064614,137733,16939.23640978208,0.032652208,12085,3082,402,51,12,nan,nan,nan,0.1639051351245043,-0.05337293713405458,-0.009883601581100311,-0.003141426355119627,-0.005276159333583635,nan,nan,nan,0.05519611286020049,0.02869608767528413,0.003725944962761506,0.0004561374262774337,0.0001809360864108319,nan,nan,nan
0.01,0.1012537084712202,202647,6839.532724764562,0.048339208,15143,3910,489,100,18,nan,nan,nan,0.166924656724446,-0.05160229061168335,-0.009821140512922254,-0.002495580546339642,-0.0017519365822806,nan,nan,nan,0.0566945395432159,0.02987877749139097,0.003500233562595344,0.00112495175057212,7.305632049524207e-05,nan,nan,nan
0.01,0.09871171802690321,133357,11922.49439153419,0.031089583,11349,2867,420,69,9,nan,nan,nan,0.1633883226995662,-0.0530557112793996,-0.01120238088884304,-0.001328032001060896,0.0009095194966405518,nan,nan,nan,0.05152125188943062,0.02625052477160677,0.00443601971195959,0.0004562870434153078,0.0001273498653229459,nan,nan,nan
0.001,0.1015941842600417,126018702,6342278.277670903,32.494531917,3711230,932266,123097,20184,3393,573,100,18,0.1661148316913803,-0.05162972702449297,-0.01065788252705153,-0.002614151225659641,-0.0006748040762417214,-3.219347406661966e-05,0.0009566424231568137,0.0001314684730170764,0.05506934643981112,0.02780898586646144,0.003901865758362298,0.000827658909881373,0.0001973941303483045,4.374648289779669e-05,9.617103354917016e-06,1.323102432188427e-06
0.001,0.101911843355411,67752620,7186394.118832189,17.164243875,2725772,684996,90396,14587,2598,432,82,nan,0.1659972029639603,-0.05153396628057035,-0.01045533352098346,-0.002098039615986811,-0.000304268255835531,0.0001794166178026995,0.0001268314470241443,nan,0.05492111943210047,0.02776346086457454,0.003872242077604192,0.0008058707544303809,0.0002059744790595681,4.461106947791374e-05,1.199359484172225e-05,nan
0.001,0.1007939667757774,72695198,6314436.480182771,18.681019916,2826438,709995,94094,14895,2643,500,89,nan,0.1659472663901636,-0.05171314198903764,-0.01023015105504212,-0.002457400692840631,-0.001118561567290367,-1.848119169526381e-06,0.000367803808994122,nan,0.05506589532095359,0.02778579075639202,0.003887447021071468,0.0008080162243205096,0.0001977653459639482,5.379164213007046e-05,1.053835783910634e-05,nan
0.001,0.1010597979196437,140510236,8920021.334928185,36.200842209,3922604,982062,130144,21528,3432,621,118,21,0.166053548039474,-0.05145083634948305,-0.01069216194902082,-0.002268742633514356,-0.0008524302608401095,0.0004424378199347241,-0.0006267728626894658,0.0004547561157827645,0.05504107954965821,0.02769147311650328,0.003897336057307378,0.0008290972042815036,0.0001708210387597881,4.166102329407205e-05,1.124419940920825e-05,1.860861571616544e-06
0.001,0.09981345561375914,60447037,4508614.19189431,15.298481583,2572837,643019,85595,14001,2394,380,68,nan,0.1657782193689182,-0.05135736184991174,-0.01080216508612458,-0.002723510335700024,-0.0005617990787932163,-0.0006282632437896903,0.000108335839160169,nan,0.05494353743930754,0.02752480794286699,0.003868451858067135,0.0008496911249079891,0.0001887970301199239,3.890669933800363e-05,7.524565313432405e-06,nan
