eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5
0.01,0.1150068928397116,9836,0.7783563074070716,0.00248525,1380,129,100,2,nan,nan,0.1186449730117158,-0.001509418406416911,-0.001735358567786426,-0.0003933031978008671,nan,nan,0.02556927887892473,0.001957201195651708,0.0001230412498922708,6.652618012026253e-08,nan,nan
0.01,0.1047084435407588,9275,4.381746054068404e-16,0.00233725,1235,141,100,1,nan,nan,0.1058074232569612,-0.001107633565779485,-0.001020069294516121,0.001028723144093226,nan,nan,0.0221016149400453,0.002461192766852353,8.799708414864418e-05,3.745082097494362e-23,nan,nan
0.01,0.1100250525281231,9384,0,0.002323375,1416,132,100,1,nan,nan,0.1144907395337416,-0.005963946359364242,-0.003544595179331017,0.005042854533076763,nan,nan,0.02628930157453391,0.002125466240643036,9.956945411043533e-05,0,nan,nan
0.01,0.09203898922285264,9573,0,0.002357625,1485,147,100,1,nan,nan,0.1061118049397537,-0.008087582441554149,-0.003128371231848434,-0.002856862043498484,nan,nan,0.02145026102361518,0.002334483463920318,0.0001050032493575148,0,nan,nan
0.01,0.09923461070315222,9778,4.177251201144877,0.00241925,1330,128,100,2,nan,nan,0.1071391883483963,-0.007093501006098929,-0.0009798485453363017,0.0001687719061911023,nan,nan,0.02172265314604867,0.001616498185373868,0.0001523701369816815,3.570300171918698e-07,nan,nan
0.001,0.09971954231411574,446200,2711.89397961676,0.10617325,147064,15248,1168,120,10,nan,0.1106141654373226,-0.007805156587743801,-0.00208257547214116,-0.0008176255211425,-0.0001892655421793853,nan,0.02433889454260034,0.002096950688962311,0.0001003310240529936,8.339393340066552e-06,2.896703674019184e-07,nan
0.001,0.1015355494221793,430592,1559.835605518421,0.103497208,144360,15283,1194,99,9,nan,0.1100024115649734,-0.006793016390007739,-0.001683617513140208,-0.0001952239628913967,0.0002049957232452318,nan,0.0242146992030929,0.00216258748710879,0.0001110005748005015,5.685616363082523e-06,1.666135019780411e-07,nan
0.001,0.1002967184076289,480843,2421.291827645853,0.11560975,153747,16175,1393,124,11,nan,0.1102699457698462,-0.006818589716510945,-0.00241355382625531,-0.0006693664863020308,-7.171733314905029e-05,nan,0.0244667173020981,0.002190085514716862,0.0001256881768047187,7.88639456397416e-06,2.586297615515759e-07,nan
0.001,0.1002314322405634,447634,1941.620145062899,0.110789375,146170,15275,1169,116,11,nan,0.11019967363096,-0.007778118035309812,-0.001824470255913176,-0.0004431226820187394,7.746958284513049e-05,nan,0.0240336048064054,0.002133218308297112,0.0001038431569105813,7.38651677847962e-06,2.073937347856119e-07,nan
0.001,0.1013683856649911,516815,4890.923478292714,0.138056458,205455,15688,1256,102,13,nan,0.1112392011695156,-0.007318123790928964,-0.001998957657210281,-0.0005171440755603917,-3.658998082483382e-05,nan,0.02474040049719844,0.002133402134382104,0.0001087150702058865,5.722233211158404e-06,5.224229308152866e-07,nan
0.0005,0.1000893664291182,2118042,7705.746814541873,0.523924875,640482,67663,5229,479,47,5,0.1106521008312554,-0.00779745312120487,-0.001794664658121822,-0.0006211827702055924,-0.000245891165198138,-0.0001035426874067867,0.02459412188759684,0.002195502609399695,0.0001054798006603994,7.05695016859112e-06,5.220639440791803e-07,2.572080300722941e-08
0.0005,0.1004582521607414,2121423,884.1792142367849,0.5138140410000001,642263,67223,5389,437,51,5,0.1104798806444785,-0.007501698824827393,-0.001853834516756445,-0.0003751560885329319,-0.0002547476488348795,-3.619140478539879e-05,0.02456836139333187,0.002156572842313485,0.0001100069078288491,5.606016292560777e-06,6.305001730790661e-07,2.951277785243881e-09
0.0005,0.1009178126706534,2009695,53.75080033417557,0.481146333,621695,65620,5109,471,40,4,0.1109322707581636,-0.007436951480166665,-0.001892943723512838,-0.0006466584599380934,-1.703782069372887e-05,-2.086660319883295e-05,0.02455158851523136,0.002182678838010464,0.000105972588766227,7.137238007233415e-06,3.447176137673018e-07,1.794133365850075e-10
0.0005,0.1003633964120656,2049806,2712.90897494074,0.496566375,631238,66857,5400,443,44,4,0.110470454610556,-0.007055019510446886,-0.002081145215585969,-0.0006669252060772827,-0.0002796994180631301,-2.426884831711006e-05,0.02439124259850342,0.002191547685856615,0.0001125685230688877,6.24751103636091e-06,4.597562521812072e-07,9.055345185921988e-09
0.0005,0.1009400372347316,2026872,9520.200575839917,0.484789083,622808,66580,5432,455,39,4,0.1106780327377252,-0.007472196102709022,-0.001707393453165903,-0.0004370623813419507,-9.174312384162747e-05,-2.960044193503715e-05,0.0244709930710959,0.002237882219668781,0.0001188207451337764,6.621876887625498e-06,1.689391827494404e-07,3.177721893722101e-08
