eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Nl_7,Nl_8,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Yl_7,Yl_8,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6,Vl_7,Vl_8
0.01,0.09368633100193943,141825,14489.42869805614,0.017455166,12089,3089,417,57,12,nan,nan,nan,nan,0.1670929585042455,-0.05659561306024693,-0.01035531027754912,-0.005482830107888425,-0.0009728740566215581,nan,nan,nan,nan,0.05364679899367966,0.02776750438412343,0.004124724061934536,0.0005802030364855295,0.0001547685184581942,nan,nan,nan,nan
0.01,0.09776451819451763,127546,5810.234454947622,0.015432292,11578,2960,370,54,10,nan,nan,nan,nan,0.166680274743013,-0.05472709916892851,-0.007513239952142497,-0.005413719966670792,-0.001261697460753589,nan,nan,nan,nan,0.05410419589048815,0.02760451399799773,0.003353448224437961,0.0005789333087952551,6.206189334487954e-05,nan,nan,nan,nan
0.01,0.1031401748118994,136673,14360.60533076953,0.017065625,12185,3073,385,51,12,nan,nan,nan,nan,0.1663128769792643,-0.05383611377892576,-0.01076258838448003,4.235298138932349e-05,0.001383647014651618,nan,nan,nan,nan,0.05624243921532346,0.02884094175981821,0.00319280457106559,0.0004636430934912675,0.000153392494453851,nan,nan,nan,nan
0.01,0.09547534484704034,194500,24214.83807932764,0.024820333,14564,3764,485,88,18,nan,nan,nan,nan,0.1660434080794298,-0.05574971506952534,-0.01415863859511122,-0.006061785106822506,0.005402075539069638,nan,nan,nan,nan,0.05513396955977491,0.02923252809144704,0.003967249996443127,0.0009778144395595778,0.0002586502678842945,nan,nan,nan,nan
0.01,0.09232438552950586,786568,6.481334125217002e-14,0.108656041,28336,7139,899,145,27,6,1,nan,nan,0.1667880949448211,-0.05447301093786611,-0.01089496802147106,-0.001153414871230523,-0.0001898421842258121,-0.008430825716801767,0.0006783523162800813,nan,nan,0.05588516782014061,0.02803592259420503,0.003625894892718192,0.0006802888949078475,0.0001976316207186816,5.715598347442356e-05,1.081689846761607e-23,nan,nan
0.001,0.100826899230547,76053199,10154455.61131946,9.795223083,2893375,725586,95760,15527,2647,479,102,nan,nan,0.1659997915620932,-0.05174812327665354,-0.01088430482719676,-0.00231691722017874,-0.000628960769329905,0.000200865645590154,0.0002045481162226309,nan,nan,0.05512691268649374,0.02775573631324067,0.00386670775763937,0.0008002201324311881,0.0001926005159052798,4.870775344798005e-05,1.694708422980421e-05,nan,nan
0.001,0.09997755878198067,70976226,4494059.207614465,9.015756916999999,2797866,699167,91571,15190,2670,480,85,nan,nan,0.1659625518646566,-0.05175683305635247,-0.01105847645529033,-0.0024334478726881,-0.0005802841258470895,-4.781614257594028e-05,-0.0001081354299219793,nan,nan,0.05513971213047687,0.0276254415359702,0.003848074732674686,0.0008180257476439223,0.0002004006190115043,4.575602151199555e-05,7.500274051153506e-06,nan,nan
0.001,0.100513553199531,71833382,6777403.391432169,9.1210415,2813110,705286,92385,14925,2460,501,89,nan,nan,0.1659836403301856,-0.05198788979904371,-0.01063050023248054,-0.002413900946103222,-0.0004931013650642034,-0.0002166200762296351,0.0002719252882666195,nan,nan,0.05521700233900446,0.02788627410160706,0.00382404715497203,0.0008133984435289212,0.0001795827739869139,5.709448954376377e-05,1.131101759959707e-05,nan,nan
0.001,0.1012643746883534,71010921,5459395.583553066,8.995311166,2799241,702396,92696,15160,2658,480,85,nan,nan,0.1660773492527504,-0.05182849288918318,-0.01081214107678553,-0.002299418896827101,-0.0001816122413931135,0.0003012332900316663,7.457249760196777e-06,nan,nan,0.0551363304568399,0.02778805938777104,0.003930211173811214,0.0008250649486307403,0.0002005778409989287,4.843172905925311e-05,9.111353709120483e-06,nan,nan
0.001,0.1013999669496595,63930793,6668702.39048711,8.080583792000001,2653945,664502,87724,14693,2527,383,76,nan,nan,0.1661705879966569,-0.05156024865969958,-0.01050478840570367,-0.002075769347952616,-7.84217869912093e-05,-0.0004636583878898528,-8.773445876055065e-05,nan,nan,0.05518776111775546,0.02769953734100669,0.003849628645800839,0.0008672284486339394,0.0002043439625830396,3.768049808627181e-05,1.112960314574625e-05,nan,nan
