Pf,Pc
2.453354652689956894e-01,2.457034296552889907e-01
1.137610425862589508e-01,1.137199209891790463e-01
4.535588157538018861e-02,4.530769865069474850e-02
2.347199632728887153e-01,2.348754494438781981e-01
2.202585008250546872e-01,2.198804671465480753e-01
1.107111338097747054e-02,1.110434740886905892e-02
1.523310530667707201e-03,1.529464899520668799e-03
2.137776758080138159e-02,2.146357720741644964e-02
4.806000236789393504e-02,4.798288558729340431e-02
2.397269940924888487e-02,2.404295224673994730e-02
8.124807926542879088e-02,8.127594274863464419e-02
1.494766524110831551e-01,1.491275006259674407e-01
1.935102764733585834e-02,1.928164817455368593e-02
4.430444459479058322e-02,4.430199230831598917e-02
4.458547518791088418e-03,4.435852488567759710e-03
1.073414798874667286e-01,1.072660646765199594e-01
6.316295314892071688e-02,6.313468792773620220e-02
1.651111104448546307e-01,1.652109354732951008e-01
1.070663514363878188e-01,1.070477101179424240e-01
4.395493276160408118e-04,4.358892712771957620e-04
7.182901620667603293e-02,7.184961300450558308e-02
1.097191777607092744e-02,1.095313895079600384e-02
6.027256796144399471e-03,6.053535978322002048e-03
4.739347506524267672e-02,4.728505706054229180e-02
6.359328145335372239e-03,6.348701019977962857e-03
2.347250718458042135e-03,2.339212199913696076e-03
6.556249334632648952e-03,6.548790876568824117e-03
8.111078579665858363e-04,8.047164742158726498e-04
6.086337031695731453e-02,6.096934556700180086e-02
9.720837701917276657e-05,9.679331096264810741e-05
1.631909754206573859e-01,1.635910280071745659e-01
2.266722145804071276e-04,2.306131701152704582e-04
2.523824175094594446e-01,2.518989029718926576e-01
2.942526301920448187e-02,2.937396094943045891e-02
8.369816138257372140e-01,8.373323485215845574e-01
8.123598460649159025e-02,8.139254255766548152e-02
2.784471693031684292e-01,2.785046137085256945e-01
2.190188531766488755e-01,2.192050853762678997e-01
2.663810635006059746e-01,2.664610695905242910e-01
5.970282421059448091e-03,5.983792929616973608e-03
5.711680033995745337e-02,5.707967148077729841e-02
9.292385608739053837e-02,9.285860283664928994e-02
1.088988800471413394e-02,1.090141739337472694e-02
1.324272005453417389e-01,1.324294646697831979e-01
1.819127264415356104e-01,1.819443244001704429e-01
1.012046038128473491e-01,1.012486818782264014e-01
7.573491385876933608e-03,7.589786618814565837e-03
4.595724347665215009e-02,4.592242597552245731e-02
6.488567351208572630e-04,6.561141998372081556e-04
4.244444310388219288e-02,4.258178336631217309e-02
3.753029553986641457e-03,3.758638433244860036e-03
5.051653313536311890e-02,5.076566437721021646e-02
1.618409953753559838e-01,1.619233551039720997e-01
4.477370670989116314e-03,4.449500708365502002e-03
1.449502141850637915e-01,1.450589709345496414e-01
3.702199649790293382e-07,3.893754871554307549e-07
