Pf,Pc
6.307332948107459425e-03,5.689283757318585287e-03
4.767932651126419175e-03,3.239434570883003434e-03
4.053094334076506753e-05,5.721214844075429200e-04
1.333553582822432915e-01,1.205065304589154895e-01
1.172793507680095493e-01,1.442547306593243150e-01
8.225982216219848838e-04,1.500066436818722456e-03
2.786693591886010499e-03,5.709224111973000039e-03
7.384295408740705613e-02,5.172798996311739339e-02
1.982616005780757362e-01,1.673031034846290954e-01
3.573906664505452357e-01,3.553271617582720032e-01
1.158729842875228823e-02,6.413478727535736751e-03
2.299609146701281359e-01,2.586360166923876158e-01
2.826286605764743391e-03,6.313663973404544426e-04
1.466424218083421660e-01,1.631986862521337123e-01
7.741765496328993157e-04,8.490641854295523426e-05
1.409067226242083914e-01,1.406508737863526037e-01
9.111917851800790252e-03,7.503443638695221976e-03
1.917893749083482424e-02,1.416732265737343302e-02
1.055330093650925088e-01,1.288433519168931118e-01
1.183155584876254678e-05,3.971872696307440732e-04
2.968421764129584028e-01,3.155419147328090146e-01
6.502755861859088257e-03,4.974946966599382188e-03
7.512054856080095655e-02,5.798415520972662746e-02
7.805716507271616422e-02,7.963659287406517351e-02
1.555235337533694417e-01,1.660908449982857193e-01
8.228615966294010320e-02,9.150587272630644753e-02
1.069963951895726434e-01,1.018372761956072986e-01
1.677655066662857020e-01,1.447517905162661322e-01
7.856368818512067878e-03,5.460928356636703986e-03
6.271911382175743288e-02,5.778379450138835388e-02
5.760758921606059374e-02,4.360410892735900462e-02
8.898370808379346686e-02,6.813598719579394558e-02
6.942533164672655410e-02,7.301704242748083273e-02
4.818593518385578395e-02,4.423549378443845242e-02
9.034815140660954966e-03,1.644746524302656207e-02
1.524634766045333129e-02,2.024882982822381536e-02
2.054987897905092545e-04,7.993214206026803695e-04
6.853361835767410315e-02,6.224273803173762526e-02
4.151408724880985973e-02,4.830249302266079875e-02
6.651027303671416102e-07,6.925874681693230397e-05
2.180122845383718894e-02,1.844937569485983336e-02
1.317283920157348923e-02,1.778719711913938004e-02
2.576341987168125347e-01,2.550226917016133465e-01
4.928662913518027516e-02,4.758094600297139293e-02
4.970606859215331505e-03,3.710880228928214227e-03
7.204325970416229630e-02,7.364914283334149381e-02
2.042242292683679183e-01,2.205586308217925284e-01
8.035549938807770576e-03,8.073491811137336466e-03
5.900092927270218779e-02,5.698307427161728583e-02
1.569040284568541943e-01,1.898648011323513796e-01
2.222571233408810604e-02,2.265526270241442416e-02
1.034388708551826491e-01,9.676300517252581224e-02
1.520644343254784481e-01,1.530932074078423522e-01
8.972030456406063226e-02,8.265715881709781443e-02
1.312404978688736261e-03,4.578482773875790094e-05
5.450224847638267950e-02,6.329357939935215116e-02
