Pf,Pc
2.320588868583336739e-01,2.324713465712826832e-01
6.075285144205908212e-03,7.773847948454071753e-03
3.081198366948358774e-02,3.158309164619959447e-02
1.130767402016067975e-03,3.174300766243718340e-04
2.481736681005232252e-03,2.309221898544957813e-03
3.459820676502688847e-02,3.267224355253519480e-02
5.018155491260700707e-02,5.125677243648094072e-02
1.241067341908966559e-01,1.228560551944111318e-01
2.358117763825108223e-02,2.601828920768721118e-02
2.312978565381697549e-01,2.315915260918443019e-01
1.930321165884318901e-01,1.943776554639218002e-01
5.535700607202816148e-02,5.457416503422201498e-02
7.956264030798577969e-02,8.300689175341793846e-02
2.124831519800243207e-01,2.180036856171447268e-01
3.342879458090135952e-02,3.589758721274886183e-02
4.386687636328124862e-01,4.389419183463125762e-01
8.951621503347675923e-02,7.411562341234945173e-02
1.957939448430343898e-01,2.067150222852855712e-01
2.610714176225115493e-02,2.396918213383293986e-02
2.715882214709954435e-03,4.269385384528878898e-03
1.716856853196481111e-02,1.562538445068596682e-02
1.320150217044694374e-01,1.261253001259993178e-01
8.980593212279506878e-06,1.585861158282074067e-04
1.110952653452183629e-02,1.080723278577340289e-02
1.147565979722576027e-02,1.166364446764359304e-02
1.265662562995226170e-02,1.587795299121293191e-02
1.006173004784568364e-01,1.042660866575937095e-01
1.205506591885713470e-03,5.631485088431700424e-04
1.571598024487873974e-03,2.974453229443511882e-04
1.212721367389490018e-01,1.237259286980383483e-01
9.981390545880071755e-03,9.868202489114831499e-03
9.749344219157367319e-02,1.016638816852379334e-01
4.955468948647199778e-01,4.910762346678858581e-01
5.179489728706742485e-02,4.911253116875731461e-02
4.228867267396686086e-02,5.095898411568079017e-02
3.377375406330498930e-03,4.449960849411289769e-03
8.778238812732944802e-04,2.073882456840237497e-03
2.441755271211280554e-01,2.387734920250192960e-01
3.935894294309300739e-02,4.501911197457670460e-02
2.293385722545757816e-02,2.157781014066733477e-02
2.125360518967731732e-02,1.663714807095837203e-02
1.190891775049981727e-01,1.170860931796648269e-01
1.762512925120039431e-01,1.820116395519204566e-01
1.099539337159144371e-04,1.539346780181049244e-04
3.343801381899417363e-02,3.190037324698642013e-02
3.373166696325971959e-04,9.886701818080305230e-04
4.374039845423271025e-03,6.775411594041193253e-03
4.613318988894408168e-01,4.713877634015350981e-01
7.778639931581976009e-03,5.153032956991169568e-03
2.196896421554131174e-01,2.151645177641940965e-01
4.722619682811939334e-01,5.039650040806071818e-01
7.103383155687201245e-02,7.941022696849890650e-02
1.177107942046072692e-01,1.250550891256955455e-01
1.367265076443307248e-01,1.411835829857800151e-01
3.152462006091537317e-02,3.423673660665432772e-02
4.727169419622134217e-01,4.905260077900346349e-01
4.893243548859051162e-02,4.720740766281276285e-02
8.345367343379724023e-02,8.446497531351980503e-02
2.380638439198575276e-02,2.525829035621330459e-02
3.035772210211474254e-01,3.119828395964344692e-01
2.430966495286511790e-04,1.098667378492676440e-03
1.274390392949077133e-01,1.199506256526038234e-01
9.216936007145433429e-02,8.767543694767042373e-02
2.063420325429465296e-01,2.047085346586804133e-01
3.400944536663299406e-02,3.738010973617260368e-02
2.818505675056421581e-03,3.594722433559331947e-03
4.102898171499986396e-02,4.170869218267549833e-02
1.152816977742615774e-02,1.165556735484901338e-02
1.760604893760325113e-02,1.437673603290540170e-02
9.769010663950997760e-04,2.288367095993951422e-03
4.900785777292366446e-02,5.389370401327123888e-02
1.678221745127513043e-01,1.882799208968299332e-01
3.687692474340632798e-02,4.042706490536975006e-02
5.042194275662463835e-04,7.565949944735081542e-05
3.497705397616207579e-02,4.397757883863932793e-02
1.106481323807062545e-02,8.892732876004054432e-03
8.282508661604291722e-02,8.394317791650218741e-02
9.550589320259377998e-03,1.026971034178720751e-02
3.858712972546542164e-02,3.248423065316298486e-02
3.502667721461926592e-02,3.524927964791751966e-02
1.857996416240188103e-02,1.815908140945825255e-02
6.777074016874108653e-02,6.005279303162628507e-02
8.756752089146226103e-02,7.980471425692642340e-02
1.807794169866702369e-02,1.584997683755431583e-02
1.742839417499694732e-01,1.811530055960960950e-01
7.772140181690277705e-03,5.918270164806805136e-03
2.981880870530037586e-01,2.863569264159140371e-01
5.481162079151673423e-03,2.659202770819595919e-03
1.477218278045389355e-01,1.519522419771905664e-01
5.554645349865282578e-01,5.480010326028516010e-01
4.229272168844257218e-02,4.171039050262921599e-02
7.389250975081941564e-02,7.855283661921798333e-02
3.699425955296997866e-03,4.170045601205281567e-03
1.399090838236220213e-01,1.537765399759300766e-01
8.925118188467380531e-02,8.936115452028728368e-02
7.817630448182241176e-01,7.885305520011851588e-01
7.124079591734609751e-02,7.939748532067264497e-02
3.296082296175258386e-01,3.340929939533511805e-01
1.861771911189334938e-01,1.841202353084747390e-01
2.833138621578805694e-01,2.858572551604559031e-01
2.757527345221194234e-02,2.918257639704085679e-02
9.826631004459466384e-03,1.338025327144805841e-02
2.031842467082205228e-01,2.009818544512375349e-01
7.428287265342609080e-02,6.926590186719112918e-02
5.740136541196073916e-03,6.058179347865262111e-03
4.280914419470674415e-01,4.041813536822863040e-01
5.824748419265341447e-03,5.895849640960546673e-03
1.904665854963994223e-02,2.139042928527258927e-02
1.011596589930523482e-01,1.098453279001482125e-01
1.768412603547938862e-04,1.023866434094965037e-04
3.833844058307517288e-01,3.824185297902945035e-01
6.295083355627680011e-02,6.429928814808048843e-02
6.702643640513919476e-02,6.848807358411741764e-02
4.415398679390423325e-02,4.207316932147898286e-02
2.446843753338982103e-03,3.410182662395297350e-03
6.600328506857822131e-02,7.261637256707367816e-02
3.500160735100218967e-03,3.667840336447383744e-03
7.605206417091336935e-03,3.626697374145995342e-03
